ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00009,계란,육류·계란,계란,57698,TRUE,TRUE,TRUE,축산물,,"계란(대란)(냉장,세척,국산)",6240,1.56Kg,1.56,Kg,6.5,https://www.foodspring.co.kr/goods/detail/938396
M00019,진간장,양념·기름,장류,21106,TRUE,FALSE,TRUE,,,진간장(몽고/부천),18560,13L,13,L,5.5,https://www.foodspring.co.kr/goods/detail/518153
M00029,참치,양념·기름,액젓·국물조미료,16108,TRUE,FALSE,TRUE,,,백설 참치액(1.8L 참치액젓 2.142Kg/EA),8213,1.8L,1.8,L,5.1,https://www.foodspring.co.kr/goods/detail/904860
M00039,표고버섯,채소류,버섯,10900,TRUE,TRUE,TRUE,특용작물,,표고버섯 소분/국내산 100g,880,100g,100,g,6.5,https://www.foodspring.co.kr/goods/detail/589600
M00049,레몬즙,과일·견과,과일,7520,FALSE,TRUE,TRUE,과일류,,레몬즙 200ml/피오디,1040,200ml,200,ml,3.5,https://www.foodspring.co.kr/goods/detail/758261
M00059,새송이버섯,채소류,버섯,5701,FALSE,TRUE,TRUE,특용작물,,새송이버섯 국내산 400g/봉,1200,400g,400,g,6.5,https://www.foodspring.co.kr/goods/detail/589591
M00069,맛살,가공식품,어묵·햄·소시지,5141,TRUE,FALSE,TRUE,,,맛살(오양/실속)1kg,4280,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/844921
M00079,미역,어패류,해조류,4001,TRUE,FALSE,TRUE,,,미역(오뚜기/자른미역),1920,50g,50,g,3.5,https://www.foodspring.co.kr/goods/detail/604060
M00089,케첩,양념·기름,기타양념,3329,FALSE,FALSE,FALSE,,,오뚜기튜브케첩 800g(12입),3256,800g,800,g,2.5,https://www.foodspring.co.kr/goods/detail/796330
M00099,검은깨,과일·견과,견과·씨앗,2716,FALSE,FALSE,FALSE,,,"검은깨옹심이, 1Kg, 매일봄, 냉동",7032,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/647595
M00109,파슬리,양념·기름,가루양념,2287,FALSE,FALSE,FALSE,,,파슬리가루 200g 리필용,3836,200g,200,g,5.5,https://www.foodspring.co.kr/goods/detail/370867
M00119,청경채,채소류,잎채소,2029,FALSE,TRUE,TRUE,채소류,,청경채(국내산),960,1팩,1,팩,2.5,https://www.foodspring.co.kr/goods/detail/757831
M00129,떡국떡,곡류·면,떡,1841,FALSE,FALSE,FALSE,,,떡국떡(동성/수입쌀)1kg,1984,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/963831
M00139,블루베리,기타,기타,1698,FALSE,TRUE,TRUE,과일류,,블루베리 파이필링 595g 잼,4256,595g,595,g,3.5,https://www.foodspring.co.kr/goods/detail/366977
M00149,밥,기타,기타,1493,FALSE,FALSE,FALSE,채소류,,오뚜기밥 210g 10번들,688,210g,210,g,2.5,https://www.foodspring.co.kr/goods/detail/959387
M00159,아보카도,과일·견과,과일,1394,FALSE,TRUE,TRUE,과일류,,냉동과일(아보카도/냉동/페루)500g,4944,500g,500,g,4.5,https://www.foodspring.co.kr/goods/detail/619182
M00169,고사리,기타,기타,1126,FALSE,FALSE,FALSE,,,고사리(진공/중국산) 1kg,1640,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/564537
M00199,요리당,양념·기름,당류,829,FALSE,FALSE,FALSE,,,요리당(CJ)1.2kg,2808,1.2kg,1.2,kg,5.5,https://www.foodspring.co.kr/goods/detail/964939
M00209,홍합,기타,기타,770,FALSE,TRUE,TRUE,수산물,,홍합(겉손질/냉장/알중/국산)1kg,2704,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/963983
M00239,데리야끼소스,기타,기타,674,FALSE,FALSE,FALSE,,,"데리야끼소스(오뚜기,실온)",3008,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/694285
M00249,초코칩,기타,기타,626,FALSE,FALSE,FALSE,,,선인 다크초코칩 1kg,6320,1kg,1,kg,2.5,https://www.foodspring.co.kr/goods/detail/534859
M00259,샐러리,기타,기타,593,FALSE,FALSE,FALSE,,,샐러리(1kg),1480,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/938149
M00269,땡초,기타,기타,558,FALSE,FALSE,FALSE,,,땡초가루,11600,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/390636
M00279,쌀가루,곡류·면,밀가루·전분,546,FALSE,FALSE,FALSE,,,"쌀가루,1Kg,제이푸드,실온",2992,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/971917
M00289,등갈비,기타,기타,517,FALSE,FALSE,FALSE,축산물,,등갈비 냉동 1kg,9800,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/683354
M00309,콩가루,곡류·면,밀가루·전분,474,FALSE,FALSE,FALSE,,,콩가루(날//소연)400G,1240,400G,400,G,3.5,https://www.foodspring.co.kr/goods/detail/844401
M00319,두유,양념·기름,기름,456,TRUE,FALSE,TRUE,,,두유(삼육/A)950ml,2336,950ml,950,ml,3.5,https://www.foodspring.co.kr/goods/detail/963756
M00329,슬라이스아몬드,과일·견과,견과·씨앗,436,FALSE,TRUE,TRUE,특용작물,,슬라이스아몬드(소)1kg,11520,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/811340
M00339,흰자,기타,기타,413,FALSE,FALSE,FALSE,,,캐나다 냉동 액상계란 휘핑 난백 2kg 흰자,11360,2kg,2,kg,1.3,https://www.foodspring.co.kr/goods/detail/717658
M00349,매생이,기타,기타,392,FALSE,FALSE,FALSE,,,매생이(미선별 350g/EA),3578,350g,350,g,3.5,https://www.foodspring.co.kr/goods/detail/868994
M00359,연두부,가공식품,두부·묵,373,FALSE,FALSE,FALSE,,,연두부(정남식품/수입콩)100g,256,100g,100,g,6.5,https://www.foodspring.co.kr/goods/detail/964927
