ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00005,후추,양념·기름,가루양념,69451,FALSE,FALSE,FALSE,,,솔표 후추가루 200g (상온),4960,200g,200,g,4.5,https://www.foodspring.co.kr/goods/detail/677733
M00015,치즈,유제품,치즈,26888,TRUE,FALSE,TRUE,,,엠보그 브리치즈(125g/EA),3548,125g,125,g,7.5,https://www.foodspring.co.kr/goods/detail/386662
M00025,매실청,양념·기름,식초·발효,17712,FALSE,FALSE,FALSE,,,백설 매실청(1.025Kg/EA),4620,1.025Kg,1.025,Kg,2.5,https://www.foodspring.co.kr/goods/detail/496005
M00035,마요네즈,양념·기름,기타양념,14176,TRUE,FALSE,TRUE,,,"마요네즈(오뚜기,실온)",2832,300g,300,g,3.5,https://www.foodspring.co.kr/goods/detail/694084
M00045,깻잎,채소류,잎채소,8862,TRUE,TRUE,TRUE,채소류,,깻잎/잎바라 국내산 500g,4536,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/564708
M00055,오징어,어패류,두족류,6240,TRUE,FALSE,TRUE,,,오징어(솔방울/냉동/중국산)250g,2104,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/965273
M00065,생크림,유제품,우유·크림,5283,TRUE,FALSE,TRUE,축산물,,생크림/에버휩/1030g,2776,1030g,1030,g,4.5,https://www.foodspring.co.kr/goods/detail/780253
M00075,들깨,과일·견과,견과·씨앗,4346,FALSE,TRUE,TRUE,특용작물,,들깨가루 (중국산) 1kg 탈피,6312,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/565045
M00085,호박,채소류,열매채소,3498,TRUE,TRUE,TRUE,채소류,,호박 퓨레 2kg 냉동,9926,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/449588
M00105,토마토소스,양념·기름,기타양념,2446,FALSE,TRUE,TRUE,채소류,,토마토소스(바로푸드),8360,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/943522
M00125,바나나,과일·견과,과일,1929,FALSE,TRUE,TRUE,과일류,,건바나나 1kg 업소용 건조 말린 과일 건바나나,16680,1kg,1,kg,5.2,https://www.foodspring.co.kr/goods/detail/651382
M00135,치킨스톡,양념·기름,액젓·국물조미료,1771,FALSE,FALSE,FALSE,,,"치킨스톡,1Kg,이엔푸드,실온",10152,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/693815
M00145,연어,기타,기타,1604,TRUE,FALSE,TRUE,,,"연어살(상품,냉동,절단,수입)",25360,160g,160,g,3.5,https://www.foodspring.co.kr/goods/detail/939635
M00155,파스타면,채소류,양념채소,1427,FALSE,FALSE,FALSE,,,라폰테 마카로니 500g 파스타면,966,500g,500,g,1.5,https://www.foodspring.co.kr/goods/detail/366827
M00165,전복,어패류,패류,1171,TRUE,TRUE,TRUE,수산물,,전복(3마리입 300g/EA)/국내산,12090,300g,300,g,3.5,https://www.foodspring.co.kr/goods/detail/402731
M00175,초고추,채소류,열매채소,1034,FALSE,FALSE,FALSE,,,초고추장(동그랑),2800,900ml,900,ml,3.5,https://www.foodspring.co.kr/goods/detail/608657
M00195,차돌박이,기타,기타,875,FALSE,FALSE,FALSE,,,차돌박이 500g (미국산),13520,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/3652
M00205,화이트와인,기타,기타,812,FALSE,FALSE,FALSE,,,화이트와인 식초 500ml,4048,500ml,500,ml,3.5,https://www.foodspring.co.kr/goods/detail/511140
M00215,유자청,양념·기름,식초·발효,748,FALSE,FALSE,FALSE,,,유자청 970ML 광야식품,4752,970ML,970,ML,3.5,https://www.foodspring.co.kr/goods/detail/532354
M00225,시나몬가루,곡류·면,밀가루·전분,732,FALSE,FALSE,FALSE,,,(솔표) 계피가루 업소용 시나몬가루 200g,3696,200g,200,g,1.3,https://www.foodspring.co.kr/goods/detail/901790
M00235,딸기잼,기타,기타,687,TRUE,TRUE,TRUE,채소류,,딸기잼 370G 대상,5144,370G,370,G,3.5,https://www.foodspring.co.kr/goods/detail/527132
M00245,머스타드,기타,기타,648,FALSE,FALSE,FALSE,,,머스타드 900g/미담,2640,900g,900,g,3.5,https://www.foodspring.co.kr/goods/detail/760571
M00255,블랙올리브,기타,기타,605,FALSE,FALSE,FALSE,,,블랙올리브홀(동서/400g*,1774,400g,400,g,3.5,https://www.foodspring.co.kr/goods/detail/48577
M00275,겨자,기타,기타,551,FALSE,FALSE,FALSE,,,겨자병(보성 대 200ml),1056,200ml,200,ml,3.5,https://www.foodspring.co.kr/goods/detail/506686
M00285,열무,기타,기타,538,FALSE,TRUE,TRUE,채소류,,열무(KG)/국내산,1395,1KG,1,KG,3.5,https://www.foodspring.co.kr/goods/detail/499820
M00295,우동면,곡류·면,면류,503,FALSE,FALSE,FALSE,,,우동면(본고장면 200g)X10,6368,200g,200,g,5.5,https://www.foodspring.co.kr/goods/detail/519741
M00305,조선간,기타,기타,483,FALSE,FALSE,FALSE,,,샘표 맑은조선간장(930ML/EA),9953,930ML,930,ML,2.5,https://www.foodspring.co.kr/goods/detail/386307
M00315,오렌지,기타,기타,465,TRUE,TRUE,TRUE,과일류,,오뚜기 오렌지 시럽 1kg,2800,1kg,1,kg,2.5,https://www.foodspring.co.kr/goods/detail/448888
M00325,세발나물,채소류,잎채소,442,FALSE,FALSE,FALSE,,,세발나물 / 국내산 / kg,5600,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/608184
M00335,스파게티소스,채소류,양념채소,421,FALSE,FALSE,FALSE,,,스파게티소스(토마토) 600g/오뚜기,3960,600g,600,g,3.5,https://www.foodspring.co.kr/goods/detail/760547
M00345,열무김치,어패류,해조류,402,FALSE,TRUE,TRUE,채소류,,김장독 열무김치(적숙 1Kg/EA),3225,1Kg,1,Kg,2.5,https://www.foodspring.co.kr/goods/detail/613023
M00355,호박씨,채소류,열매채소,378,FALSE,TRUE,TRUE,채소류,,호박씨(중국) 150g,1520,150g,150,g,3.5,https://www.foodspring.co.kr/goods/detail/749466
M00365,피클링스파이스,채소류,양념채소,366,FALSE,FALSE,FALSE,,,"피클링스파이스, 40g, ISFI",3384,40g,40,g,3.5,https://www.foodspring.co.kr/goods/detail/694260
M00385,메밀면,곡류·면,면류,335,FALSE,TRUE,TRUE,식량작물,,"메밀면, 1.25Kg, 면사랑, 냉동",3040,1.25Kg,1.25,Kg,5.5,https://www.foodspring.co.kr/goods/detail/636550
M00395,팥앙금,기타,기타,324,FALSE,FALSE,FALSE,,,대두 통단팥앙금 55R 5kg,16272,5kg,5,kg,2.5,https://www.foodspring.co.kr/goods/detail/790573
M00405,조림간,,,311,FALSE,FALSE,FALSE,,,"햇살조림간장,840ml,대상,실온",5600,840ml,840,ml,2.5,https://www.foodspring.co.kr/goods/detail/694231
M00415,바게트빵,곡류·면,빵·곡식가공,294,FALSE,FALSE,FALSE,,,바게트빵 갈릭 스틱 50g 15개입 마늘빵 마늘바게트 냉동생지,12720,50g,50,g,2.8,https://www.foodspring.co.kr/goods/detail/830307
M00425,수삼,기타,기타,281,FALSE,FALSE,FALSE,,,"수삼(상품,국산)",10672,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/693919
