ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00001,마늘,채소류,양념채소,126343,TRUE,FALSE,TRUE,,,마늘 1kg(사이즈-대),8800,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/756073
M00011,식용유,양념·기름,기름,54344,TRUE,FALSE,TRUE,,,해표 식용유(콩기름)PT 1.8L,4160,1.8L,1.8,L,7.5,https://www.foodspring.co.kr/goods/detail/640885
M00021,감자,채소류,뿌리채소,19934,TRUE,TRUE,TRUE,식량작물,,"감자 1kg (대,국내산)",2303,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/424123
M00031,파프리카,채소류,양념채소,15488,FALSE,TRUE,TRUE,채소류,,파프리카(상품/주황/국산)200g내외,3608,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/964009
M00041,부추,채소류,잎채소,10059,FALSE,TRUE,TRUE,채소류,,부추/국내산 1단 (500g 내외),936,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/564788
M00051,닭고기,육류·계란,닭고기,7335,FALSE,TRUE,TRUE,축산물,,사세 버팔로 스틱 봉 치킨 닭고기 1kg,10320,1kg,1,kg,6.4,https://www.foodspring.co.kr/goods/detail/102762
M00061,소시지,육류·계란,가공육,5658,TRUE,FALSE,TRUE,,,소시지 대상 칼집 비엔나 1KG 햄 소세지 도매 식자재 간식,7920,1KG,1,KG,2.85,https://www.foodspring.co.kr/goods/detail/487884
M00071,시금치,채소류,잎채소,4532,TRUE,TRUE,TRUE,채소류,,시금치 1단-약250g,1600,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/976108
M00081,당면,곡류·면,면류,3784,TRUE,FALSE,TRUE,,,이츠웰 찰당면(500g/EA),2273,500g,500,g,4.5,https://www.foodspring.co.kr/goods/detail/386853
M00091,월계수잎,양념·기름,가루양념,3269,FALSE,FALSE,FALSE,,,월계수잎 100g,2720,100g,100,g,3.5,https://www.foodspring.co.kr/goods/detail/878200
M00111,피망,채소류,열매채소,2236,FALSE,TRUE,TRUE,채소류,,피망/청 국내산 500g,2952,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/564391
M00121,버섯,채소류,버섯,1991,TRUE,FALSE,TRUE,,,팩느타리버섯 국내산 200g,792,200g,200,g,5.5,https://www.foodspring.co.kr/goods/detail/564676
M00131,순두부,가공식품,두부·묵,1831,FALSE,FALSE,FALSE,,,순두부(다미안)380g,400,380g,380,g,6.5,https://www.foodspring.co.kr/goods/detail/920237
M00141,아몬드가루,과일·견과,견과·씨앗,1644,FALSE,TRUE,TRUE,특용작물,,"아몬드가루(스웰),1Kg,상온,",11680,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/971941
M00151,조청,양념·기름,식초·발효,1453,TRUE,FALSE,TRUE,,,조청물엿 5kg 강남 1개,11120,5kg,5,kg,3.5,https://www.foodspring.co.kr/goods/detail/828816
M00161,허브솔트,기타,기타,1368,FALSE,FALSE,FALSE,,,허브솔트(고기용) 50g/해표,1760,50g,50,g,3.5,https://www.foodspring.co.kr/goods/detail/758673
M00171,멸치액젓,,,1114,TRUE,TRUE,TRUE,,,멸치액젓(티파로스 700g),3808,700g,700,g,3.5,https://www.foodspring.co.kr/goods/detail/810366
M00181,냉이,기타,기타,975,FALSE,FALSE,FALSE,,,냉이(국내산) 1kg,17200,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/715775
M00191,갈치,기타,기타,893,TRUE,TRUE,TRUE,수산물,,"갈치(냉동,절단/소제,상품,수입)",6312,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/636583
M00201,황태채,기타,기타,826,FALSE,FALSE,FALSE,수산물,,황태채(국내가공 100g/EA),5183,100g,100,g,3.5,https://www.foodspring.co.kr/goods/detail/656399
