ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00010,참깨,과일·견과,견과·씨앗,55439,TRUE,TRUE,TRUE,특용작물,,참깨(청학/수입산)220g,2584,220g,220,g,3.5,https://www.foodspring.co.kr/goods/detail/965216
M00020,돼지고기,육류·계란,돼지고기,20648,TRUE,TRUE,TRUE,축산물,,돈후지 짜장 카레 깍뚝썰기 돼지고기,32640,5kg,5,kg,4.5,https://www.foodspring.co.kr/goods/detail/473961
M00030,오이,채소류,열매채소,15700,TRUE,TRUE,TRUE,채소류,,오이 특/국내산 1개,400,1개,1,개,2.5,https://www.foodspring.co.kr/goods/detail/589654
M00040,다시마,어패류,해조류,10114,FALSE,FALSE,FALSE,,,"다시마,150g,대상,실온,건조",4360,150g,150,g,3.5,https://www.foodspring.co.kr/goods/detail/694396
M00050,콩나물,채소류,잎채소,7439,TRUE,TRUE,TRUE,채소류,,콩나물(세척 250g/EA),503,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/501382
M00060,베이컨,육류·계란,가공육,5677,TRUE,FALSE,TRUE,,,"베이컨,200g(17g*12입),목우촌,냉장",4896,200g,200,g,3.3,https://www.foodspring.co.kr/goods/detail/651974
M00070,토마토,채소류,열매채소,4541,TRUE,TRUE,TRUE,채소류,,토마토 500g,2096,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/564471
M00080,방울토마토,채소류,열매채소,3889,FALSE,TRUE,TRUE,채소류,,방울토마토 500g (2~3번과),2400,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/975847
M00090,무,기타,기타,3272,FALSE,FALSE,FALSE,,,"무순 50g (소,팩,국내산)",385,50g,50,g,3.5,https://www.foodspring.co.kr/goods/detail/434307
M00100,전분가루,곡류·면,밀가루·전분,2664,FALSE,FALSE,FALSE,,,고구마 전분가루 400G 뚜레반,2944,400G,400,G,5.5,https://www.foodspring.co.kr/goods/detail/529857
M00110,얼음,기타,물·음료,2247,FALSE,FALSE,FALSE,,,얼음 2.5kg,1648,2.5kg,2.5,kg,3.5,https://www.foodspring.co.kr/goods/detail/515517
M00120,레몬,과일·견과,과일,2009,TRUE,TRUE,TRUE,과일류,,티랑 건조레몬 50g 건조과일,4400,50g,50,g,5.5,https://www.foodspring.co.kr/goods/detail/953606
M00130,호두,과일·견과,견과·씨앗,1838,FALSE,TRUE,TRUE,특용작물,,호두 분태 (미국) 150g,2400,150g,150,g,3.5,https://www.foodspring.co.kr/goods/detail/749476
M00140,생강청,양념·기름,식초·발효,1646,FALSE,TRUE,TRUE,채소류,,약초인 생강청 650g,14400,650g,650,g,2.5,https://www.foodspring.co.kr/goods/detail/642232
M00150,연겨자,기타,기타,1476,FALSE,FALSE,FALSE,,,연겨자(오뚜기)100g,2560,100g,100,g,3.5,https://www.foodspring.co.kr/goods/detail/618290
M00160,해물,기타,물·음료,1390,TRUE,FALSE,TRUE,,,해물모듬(수입산) 800g,6312,800g,800,g,3.5,https://www.foodspring.co.kr/goods/detail/564114
M00170,아몬드,과일·견과,견과·씨앗,1118,TRUE,TRUE,TRUE,특용작물,,아몬드 분태 150g,2640,150g,150,g,3.5,https://www.foodspring.co.kr/goods/detail/783242
M00180,계피가루,곡류·면,밀가루·전분,995,FALSE,FALSE,FALSE,,,계피가루(소연/뚜레반)200g,1816,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/618368
