ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00004,양파,채소류,양념채소,86041,True,True,True,채소류,,양파 1kg,1440,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/756079
M00014,식초,양념·기름,식초·발효,29469,True,False,True,,,식초(오뚜기/양조)1.8L,2120,1.8L,1.8,L,6.5,https://www.foodspring.co.kr/goods/detail/618347
M00024,새우,어패류,갑각류,17912,True,True,True,수산물,,냉동민물새우(중국산) 400g,2400,400g,400.0,g,2.5,https://www.foodspring.co.kr/goods/detail/715721
M00034,들기름,양념·기름,기름,14883,True,False,True,,,들기름 골드小 350ml,4672,350ml,350.0,ml,8.5,https://www.foodspring.co.kr/goods/detail/565152
M00044,물엿,양념·기름,당류,8973,True,False,True,,,화미 고백당물엿 이온물엿 8kg,7240,8kg,8.0,kg,4.5,https://www.foodspring.co.kr/goods/detail/589334
M00054,액젓,양념·기름,액젓·국물조미료,6358,True,False,True,,,액젓(하선정/멸치)1kg,3720,1kg,1.0,kg,6.5,https://www.foodspring.co.kr/goods/detail/844618
M00064,물,기타,물·음료,5326,False,False,False,축산물,,냉동 민물새우 400g,1505,400g,400.0,g,2.5,https://www.foodspring.co.kr/goods/detail/546030
M00074,느타리버섯,채소류,버섯,4404,True,True,True,특용작물,,느타리버섯 팩/국내산 200g/팩,960,200g,200.0,g,6.5,https://www.foodspring.co.kr/goods/detail/589586
M00084,스팸,육류·계란,가공육,3519,True,False,True,,,스팸 클래식(CJ) 300g,2880,300g,300.0,g,3.5,https://www.foodspring.co.kr/goods/detail/792107
M00094,생수,기타,물·음료,2874,False,False,False,,,생수(석수:진로)2L,1920,2L,2.0,L,3.5,https://www.foodspring.co.kr/goods/detail/875850
M00104,미나리,채소류,잎채소,2525,False,True,True,채소류,,"미나리,500g,상품,국산",1712,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/647244
M00114,맛간,양념·기름,장류,2160,False,False,False,,,맛간장(삼화 1.8L),12848,1.8L,1.8,L,5.5,https://www.foodspring.co.kr/goods/detail/504895
M00124,오일,양념·기름,기름,1932,True,False,True,,,포마스오일 이태리산 5L 올리브오일 올리브유,25896,5L,5.0,L,4.3,https://www.foodspring.co.kr/goods/detail/565177
M00144,또띠아,곡류·면,빵·곡식가공,1605,False,False,False,,,"또띠아,576g(8인치),플라워,8인치(EA)",3056,576g,576.0,g,3.25,https://www.foodspring.co.kr/goods/detail/971883
M00154,유부,양념·기름,기름,1428,True,False,True,,,유부(대림 300G),3600,300G,300.0,G,3.5,https://www.foodspring.co.kr/goods/detail/88087
M00164,꽃게,기타,기타,1224,False,True,True,수산물,,꽃게M/절단(중국산)/팩 450g,1848,450g,450.0,g,3.5,https://www.foodspring.co.kr/goods/detail/564167
M00174,옥수수,기타,기타,1047,True,True,True,식량작물,,옥수수(태국산/소),960,425g,425.0,g,3.5,https://www.foodspring.co.kr/goods/detail/518316
M00194,와사비,기타,기타,885,True,False,True,,,와사비마요 2kg,15280,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/529134
M00204,코코아파우더,채소류,양념채소,815,False,False,False,,,퀴진 블랙 코코아파우더 200g,5296,200g,200.0,g,1.5,https://www.foodspring.co.kr/goods/detail/782945
M00214,스테이크소스,기타,기타,749,False,False,False,,,"스테이크소스(오뚜기,실온)",1760,415g,415.0,g,3.5,https://www.foodspring.co.kr/goods/detail/941431
M00224,아몬드슬라이스,과일·견과,견과·씨앗,733,False,True,True,특용작물,,아몬드슬라이스,6240,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/518115
M00234,황태,기타,기타,693,False,False,False,수산물,,황태국밥(햇반컵반/상온/170g)ea,2520,170g,170.0,g,3.5,https://www.foodspring.co.kr/goods/detail/966525
M00244,인삼,기타,기타,652,False,False,False,,,인삼뚝불고기 400g/이푸드,2560,400g,400.0,g,3.5,https://www.foodspring.co.kr/goods/detail/760065
M00254,국수,곡류·면,면류,607,True,False,True,,,국수(칠갑/소면/opp)900g,1984,900g,900.0,g,5.5,https://www.foodspring.co.kr/goods/detail/965167
