ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00008,고춧가루,양념·기름,가루양념,65762,TRUE,TRUE,TRUE,채소류,,고춧가루(NEW_청양 1Kg/EA),12690,1Kg,1,Kg,5.5,https://www.foodspring.co.kr/goods/detail/869983
M00018,올리고당,양념·기름,당류,23090,TRUE,FALSE,TRUE,,,올리고당 700G 대상,2936,700G,700,G,5.5,https://www.foodspring.co.kr/goods/detail/525699
M00028,홍고추,채소류,열매채소,16860,FALSE,FALSE,FALSE,,,"홍고추,200g(개),상품,국산",1984,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/651915
M00038,쪽파,채소류,양념채소,12032,TRUE,FALSE,TRUE,채소류,,쪽파(상품 KG),5505,1KG,1,KG,3.5,https://www.foodspring.co.kr/goods/detail/737286
M00048,청주,기타,주류,7677,FALSE,FALSE,FALSE,,,(청주골)포기김치(국내산) 10kg,27120,10kg,10,kg,2.5,https://www.foodspring.co.kr/goods/detail/716535
M00058,상추,채소류,잎채소,5888,TRUE,TRUE,TRUE,채소류,,??양상추 국산 1통??,1200,600g,600,g,2.5,https://www.foodspring.co.kr/goods/detail/713905
M00068,미림,양념·기름,기타양념,5177,FALSE,FALSE,FALSE,,,미림 500ml,1880,500ml,500,ml,3.5,https://www.foodspring.co.kr/goods/detail/950847
M00078,가지,채소류,열매채소,4016,TRUE,TRUE,TRUE,채소류,,가지(상품 KG)/국내산,2423,1KG,1,KG,3.5,https://www.foodspring.co.kr/goods/detail/498772
M00088,육수,양념·기름,액젓·국물조미료,3398,FALSE,FALSE,FALSE,,,담두 냉면육수 350g,464,350g,350,g,2.5,https://www.foodspring.co.kr/goods/detail/947251
M00098,올리브유,,,2723,FALSE,FALSE,FALSE,,,올리브유 900ml/백설,11840,900ml,900,ml,3.5,https://www.foodspring.co.kr/goods/detail/882190
M00108,기름,양념·기름,기름,2291,TRUE,FALSE,TRUE,,,오승 참진한기름골드 1.8L(12입),8096,1.8L,1.8,L,7.5,https://www.foodspring.co.kr/goods/detail/796425
M00118,떡볶이떡,곡류·면,떡,2087,FALSE,FALSE,FALSE,,,"떡볶이떡 (건영,쌀,중) 2kg",4466,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/825541
M00128,무염버터,유제품,버터,1855,TRUE,FALSE,TRUE,,,무염버터(씨21/브리델/200G/프랑스/냉장)EA,5080,200G,200,G,8.15,https://www.foodspring.co.kr/goods/detail/967637
M00138,딸기,과일·견과,과일,1699,TRUE,TRUE,TRUE,채소류,,냉동 딸기 1kg 과일,2996,1kg,1,kg,5.5,https://www.foodspring.co.kr/goods/detail/508107
M00148,견과류,과일·견과,견과·씨앗,1505,FALSE,FALSE,FALSE,,,깐 해바라기씨 1kg 견과류,3276,1kg,1,kg,2.5,https://www.foodspring.co.kr/goods/detail/367851
M00158,찹쌀,곡류·면,쌀,1403,FALSE,TRUE,TRUE,식량작물,,찹쌀(국내산),3760,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/921615
M00168,파,채소류,양념채소,1134,FALSE,FALSE,FALSE,채소류,,파스타빌라 마카로니(500g/EA),758,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/403257
M00178,메이플시럽,기타,기타,998,FALSE,FALSE,FALSE,,,메이플시럽,8400,250ml,250,ml,3.5,https://www.foodspring.co.kr/goods/detail/638151
M00188,훈제오리,기타,기타,922,TRUE,FALSE,TRUE,,,훈제오리[훈제오리슬라이스]800g,6176,800g,800,g,3.5,https://www.foodspring.co.kr/goods/detail/924041
M00198,진미채,기타,기타,832,FALSE,FALSE,FALSE,,,진미채무침(단지/NB)80g,2816,80g,80,g,3.5,https://www.foodspring.co.kr/goods/detail/966056
M00208,돈까스소스,기타,기타,774,FALSE,FALSE,FALSE,,,돈까스소스(오뚜기 415ml),1600,415ml,415,ml,3.5,https://www.foodspring.co.kr/goods/detail/89852
