ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00007,참기름,양념·기름,기름,69016,TRUE,FALSE,TRUE,,,"참기름[CJ이츠웰,진한참기름]1.8L",14080,1.8L,1.8,L,8.5,https://www.foodspring.co.kr/goods/detail/391274
M00017,멸치,양념·기름,액젓·국물조미료,23532,TRUE,FALSE,TRUE,,,사조해표 멸치액젓(9Kg/EA),9953,9Kg,9,Kg,5.5,https://www.foodspring.co.kr/goods/detail/869882
M00027,굴소스,양념·기름,액젓·국물조미료,17169,FALSE,FALSE,FALSE,,,굴소스(팬더/병),3360,510g,510,g,3.5,https://www.foodspring.co.kr/goods/detail/546111
M00037,두부,가공식품,두부·묵,13960,TRUE,FALSE,TRUE,채소류,,두부 400g/팩,1040,400g,400,g,6.5,https://www.foodspring.co.kr/goods/detail/816814
M00047,김,곡류·면,밀가루·전분,8060,FALSE,FALSE,FALSE,,,곰표 튀김가루 1kg,1526,1kg,1,kg,2.5,https://www.foodspring.co.kr/goods/detail/366910
M00057,김치,채소류,잎채소,6012,TRUE,FALSE,TRUE,,,김치찜 800g,6320,800g,800,g,3.5,https://www.foodspring.co.kr/goods/detail/834882
M00067,사과,과일·견과,과일,5180,TRUE,TRUE,TRUE,과일류,,과일촌 아침에 사과 1.5L 해태,3400,1.5L,1.5,L,4.5,https://www.foodspring.co.kr/goods/detail/551333
M00077,케찹,양념·기름,기타양념,4085,TRUE,FALSE,TRUE,,,케찹병(보성 대 550ml),1296,550ml,550,ml,3.5,https://www.foodspring.co.kr/goods/detail/506265
M00087,만두,기타,기타,3413,TRUE,FALSE,TRUE,,,"만두(찰진/김치/영주)1,4kg",7088,4kg,4,kg,3.5,https://www.foodspring.co.kr/goods/detail/845570
M00097,까나리액젓,양념·기름,액젓·국물조미료,2767,TRUE,FALSE,TRUE,,,까나리액젓(하선정),4240,1kg,1,kg,6.5,https://www.foodspring.co.kr/goods/detail/626888
