ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M05912,난황,기타,기타,5,FALSE,FALSE,FALSE,,,냉동난황액 (마이클푸드) 2.27kg,29520,2.27kg,2.27,kg,2.5,https://www.foodspring.co.kr/goods/detail/784214
M05942,닭아랫날,육류·계란,닭고기,5,FALSE,FALSE,FALSE,,,모던푸드 국내산 닭날개 윙 1kg 2개 냉동 생닭날개 닭아랫날개 닭고기,24400,1kg,1,kg,5.55,https://www.foodspring.co.kr/goods/detail/653813
M05952,가니쉬,기타,기타,5,FALSE,FALSE,FALSE,,,냉동 아스파라거스 1kg 가니쉬 양식요리,8400,1kg,1,kg,1.4,https://www.foodspring.co.kr/goods/detail/404535
M05962,메줏가루,곡류·면,밀가루·전분,5,FALSE,FALSE,FALSE,,,동강마루 영월농협 메줏가루(막장용) 1kg,18800,1kg,1,kg,1.35,https://www.foodspring.co.kr/goods/detail/698154
M05992,도너츠가루,곡류·면,밀가루·전분,5,FALSE,FALSE,FALSE,,,오뚜기도너츠가루,2320,500G,500,G,2.5,https://www.foodspring.co.kr/goods/detail/6640
M06002,올리브절임,기타,기타,5,FALSE,FALSE,FALSE,,,이바라 피티드 그린올리브 홀 3kg 캔 올리브절임,16240,3kg,3,kg,1.15,https://www.foodspring.co.kr/goods/detail/591399
M06022,엑설런트,기타,기타,5,FALSE,FALSE,FALSE,,,식자재왕 모듬견과 엑설런트 10입 200g,7360,200g,200,g,1.35,https://www.foodspring.co.kr/goods/detail/826652
M06052,럼레진,기타,기타,5,FALSE,FALSE,FALSE,,,선인_럼레진_680g/EA,4664,680g,680,g,2.5,https://www.foodspring.co.kr/goods/detail/750993
M06082,아이스,기타,기타,5,FALSE,FALSE,FALSE,,,프릴아이스 300g,2880,300g,300,g,2.5,https://www.foodspring.co.kr/goods/detail/756193
M06182,밀크초코,기타,기타,5,FALSE,FALSE,FALSE,,,하이델_밀크초코룹스(110g/파우치),4720,110g,110,g,2.5,https://www.foodspring.co.kr/goods/detail/927212
M06222,가문어통족,기타,기타,5,FALSE,FALSE,FALSE,,,가문어통족(건 페루산) 1kg 냉동,16320,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/836994
M06282,마라탕,기타,기타,5,FALSE,FALSE,FALSE,,,마라탕 470g,6064,470g,470,g,3.5,https://www.foodspring.co.kr/goods/detail/834779
M06292,국물떡볶이,곡류·면,떡,5,TRUE,FALSE,TRUE,,,국물떡볶이(쌀) 401.2g/미정당,2592,401.2g,401.2,g,3.5,https://www.foodspring.co.kr/goods/detail/971044
M06332,크레이프,기타,기타,5,FALSE,FALSE,FALSE,,,밀크크레이프(케익드라마) 100g*5ea/PK,12360,100g,100,g,2.25,https://www.foodspring.co.kr/goods/detail/751214
M06372,사태수육,기타,기타,5,FALSE,FALSE,FALSE,,,아롱사태수육 150g 2개,14080,150g,150,g,2.5,https://www.foodspring.co.kr/goods/detail/892589
M06392,키리모찌,기타,기타,5,FALSE,FALSE,FALSE,,,키리모찌 1kg 일본 구워먹는떡,7800,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/716734
M06412,건토란,기타,기타,5,FALSE,FALSE,FALSE,,,건토란대(데친것 KG)/미얀마산,2400,1KG,1,KG,3.5,https://www.foodspring.co.kr/goods/detail/496414
M06432,율무쌀,곡류·면,쌀,5,FALSE,TRUE,TRUE,,,국산 율무 햇곡 율무쌀 5kg,67120,5kg,5,kg,1.5,https://www.foodspring.co.kr/goods/detail/937729
M06522,핸드믹서,기타,기타,5,FALSE,FALSE,FALSE,,,럭셀핸드믹서기-2003A,78560,1EA,1,EA,1.5,https://www.foodspring.co.kr/goods/detail/784354
M06602,리가토니면,곡류·면,면류,4,FALSE,FALSE,FALSE,,,리가토니(룸모 50번 500g) 업소용 리가토니면,4672,500g,500,g,3.15,https://www.foodspring.co.kr/goods/detail/791787
M06662,히말라야핑크솔트,,,4,TRUE,FALSE,TRUE,,,히말라야핑크솔트(고운소금/신영)1.5kg,5912,1.5kg,1.5,kg,3.4,https://www.foodspring.co.kr/goods/detail/965976
M06722,만든,,,4,FALSE,FALSE,FALSE,,,"갈아만든배, 238ml, 해태,실온",640,238ml,238,ml,2.5,https://www.foodspring.co.kr/goods/detail/694647
M06772,조선,기타,기타,4,FALSE,FALSE,FALSE,,,"조선부추,1Kg,상품,실온,국산",2560,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/627176
M06792,냉동홍합살,기타,기타,4,FALSE,TRUE,TRUE,,,냉동홍합살 200g (중국산),1480,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/629227
M06852,깐풍소스,기타,기타,4,FALSE,FALSE,FALSE,,,아워홈 깐풍소스 2kg 업소용 중화요리 깐풍기 소스,6640,2kg,2,kg,2.1,https://www.foodspring.co.kr/goods/detail/654608
M06892,타타르소스,,,4,FALSE,FALSE,FALSE,,,타타르소스 245g/오뚜기,2080,245g,245,g,3.5,https://www.foodspring.co.kr/goods/detail/760567
