ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00003,설탕,양념·기름,당류,91467,TRUE,FALSE,TRUE,,,설탕(백설탕-3kg-대한제당),3840,3kg,3,kg,5.5,https://www.foodspring.co.kr/goods/detail/807827
M00013,청양고추,채소류,열매채소,33538,FALSE,FALSE,FALSE,채소류,,"청양고추,200g(개),상품,국산",888,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/651497
M00023,버터,유제품,버터,18459,TRUE,FALSE,TRUE,,,버터 빈스 400G 디벨라,2184,400G,400,G,8.5,https://www.foodspring.co.kr/goods/detail/525929
M00033,우유,유제품,우유·크림,15164,TRUE,TRUE,TRUE,축산물,,우유(매일/카톤시유)200ml,512,200ml,200,ml,4.5,https://www.foodspring.co.kr/goods/detail/963931
M00043,생강,채소류,양념채소,9613,FALSE,TRUE,TRUE,채소류,,생강 1kg (흙생강),6800,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/975955
M00053,부침가루,곡류·면,밀가루·전분,6679,TRUE,FALSE,TRUE,,,부침가루(곰표),1360,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/921510
M00063,파슬리가루,양념·기름,가루양념,5462,FALSE,FALSE,FALSE,,,파슬리가루 200g 리필용,3836,200g,200,g,5.5,https://www.foodspring.co.kr/goods/detail/370867
M00073,베이킹파우더,곡류·면,밀가루·전분,4420,FALSE,FALSE,FALSE,,,베이킹파우더,640,150g,150,g,3.5,https://www.foodspring.co.kr/goods/detail/602642
M00083,소주,기타,주류,3667,FALSE,FALSE,FALSE,,,소주컵(2.5온스 70ml 50입)X40,24224,70ml,70,ml,3.4,https://www.foodspring.co.kr/goods/detail/528676
M00093,빵가루,곡류·면,밀가루·전분,2957,FALSE,FALSE,FALSE,,,빵가루(독일/젖음),5440,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/640326
M00103,꽈리고추,채소류,열매채소,2579,FALSE,FALSE,FALSE,채소류,,꽈리고추(국내산) 200g,1144,200g,200,g,3.5,https://www.foodspring.co.kr/goods/detail/760787
M00113,전분,곡류·면,밀가루·전분,2163,FALSE,FALSE,FALSE,,,전분(감자복합 화미 500g),3232,500g,500,g,6.5,https://www.foodspring.co.kr/goods/detail/798517
M00123,풋고추,채소류,열매채소,1950,TRUE,TRUE,TRUE,채소류,,풋고추 소분/국내산 100g,1600,100g,100,g,3.5,https://www.foodspring.co.kr/goods/detail/589641
M00133,코인육수,양념·기름,액젓·국물조미료,1822,FALSE,FALSE,FALSE,,,쌀눈 코인육수 120알 360g,12160,360g,360,g,2.5,https://www.foodspring.co.kr/goods/detail/971601
M00143,김밥김,어패류,해조류,1619,FALSE,FALSE,FALSE,,,해농 김밥김 일반 230g(100매),11120,230g,230,g,2.5,https://www.foodspring.co.kr/goods/detail/472489
M00153,쑥갓,채소류,잎채소,1431,FALSE,FALSE,FALSE,채소류,,쑥갓/국내산 250g,616,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/564739
M00163,다시다,양념·기름,액젓·국물조미료,1328,TRUE,FALSE,TRUE,,,"다시다조개,300g/PK,CJ제일제당,실온",5280,300g,300,g,3.35,https://www.foodspring.co.kr/goods/detail/694153
