ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00006,대파,채소류,양념채소,69159,TRUE,FALSE,TRUE,채소류,,대파(국산1kg),1280,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/614217
M00016,맛술,양념·기름,기타양념,26694,FALSE,FALSE,FALSE,채소류,,맛술/백설/생강/800ml,2720,800ml,800,ml,3.5,https://www.foodspring.co.kr/goods/detail/844443
M00026,배추,채소류,잎채소,17247,TRUE,TRUE,TRUE,채소류,,"배추,1Kg,상품,실온,겉잎제거,국산",1200,1Kg,1,Kg,3.5,https://www.foodspring.co.kr/goods/detail/627241
M00036,쇠고기,육류·계란,소고기,14069,TRUE,TRUE,TRUE,축산물,,3분 쇠고기 짜장 200G 오뚜기,1768,200G,200,G,2.5,https://www.foodspring.co.kr/goods/detail/530712
M00046,어묵,가공식품,어묵·햄·소시지,8322,TRUE,FALSE,TRUE,,,대림 매화어묵 160g 어묵란,1736,160g,160,g,3.5,https://www.foodspring.co.kr/goods/detail/366587
M00056,식빵,곡류·면,빵·곡식가공,6148,TRUE,FALSE,TRUE,,,숙식빵,2080,420g,420,g,2.5,https://www.foodspring.co.kr/goods/detail/652134
M00066,팽이버섯,채소류,버섯,5280,FALSE,TRUE,TRUE,특용작물,,"팽이버섯,150g,상품,국산",200,150g,150,g,6.5,https://www.foodspring.co.kr/goods/detail/627330
M00076,생강가루,양념·기름,가루양념,4117,FALSE,TRUE,TRUE,채소류,,생강가루(봉지),1152,60g,60,g,5.5,https://www.foodspring.co.kr/goods/detail/613764
M00086,라면,곡류·면,면류,3475,TRUE,FALSE,TRUE,,,"사리면(라면사리)(농심,실온)",7816,3.3Kg,3.3,Kg,4.5,https://www.foodspring.co.kr/goods/detail/693365
M00096,찹쌀가루,곡류·면,밀가루·전분,2799,FALSE,TRUE,TRUE,식량작물,,"찹쌀가루[소연,복합찹쌀가루]300g",1496,300g,300,g,3.5,https://www.foodspring.co.kr/goods/detail/389834
M00106,단무지,채소류,뿌리채소,2401,TRUE,FALSE,TRUE,,,단무지(깍둑/세미로),2800,2.6kg,2.6,kg,3.5,https://www.foodspring.co.kr/goods/detail/663583
M00116,슈가파우더,양념·기름,당류,2118,FALSE,FALSE,FALSE,,,분당 슈가파우더 500g,2320,500g,500,g,4.5,https://www.foodspring.co.kr/goods/detail/748331
M00126,대추,과일·견과,견과·씨앗,1904,FALSE,FALSE,FALSE,,,대추채(상품 100g/PAC),3818,100g,100,g,3.5,https://www.foodspring.co.kr/goods/detail/689853
M00136,달래,기타,기타,1753,FALSE,FALSE,FALSE,,,달래 1kg 국내산,14000,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/899682
M00146,쯔유,양념·기름,액젓·국물조미료,1548,FALSE,FALSE,FALSE,,,쯔유(가쓰오풍/이엔푸드),8160,1.8L,1.8,L,3.5,https://www.foodspring.co.kr/goods/detail/653058
M00156,메추리,기타,기타,1426,FALSE,FALSE,FALSE,,,메추리알곤약800g (대신물산) [800g*10],2880,800g,800,g,3.15,https://www.foodspring.co.kr/goods/detail/975205
M00166,집간,기타,기타,1146,FALSE,FALSE,FALSE,,,간장(실장님 1.9K)X6 실장님간장 회간장 사시미간장 일식간장 업소용간장 식자재 조미료 횟집간장 스시집간장,68608,6개,6,개,-1.5,https://www.foodspring.co.kr/goods/detail/53976
M00176,바닐라익스트랙,기타,기타,1020,FALSE,FALSE,FALSE,,,바니프뤼 바닐라익스트랙 75ml,12800,75ml,75,ml,1.5,https://www.foodspring.co.kr/goods/detail/783515
M00186,플레인요거트,기타,기타,927,TRUE,FALSE,TRUE,,,플레인요거트 컵샤베트 240ml 호프 술안주 아이스크림,2632,240ml,240,ml,3,https://www.foodspring.co.kr/goods/detail/792081
M00196,바질,기타,기타,869,FALSE,FALSE,FALSE,,,바질(10g),720,10g,10,g,3.5,https://www.foodspring.co.kr/goods/detail/938119
M00206,도토리묵,가공식품,두부·묵,801,FALSE,FALSE,FALSE,,,도토리묵/중국산 400g,720,400g,400,g,5.5,https://www.foodspring.co.kr/goods/detail/564603
M00216,칠리소스,기타,기타,747,FALSE,FALSE,FALSE,,,칠리소스(몬유통 스위트 435ml),3296,435ml,435,ml,3.5,https://www.foodspring.co.kr/goods/detail/844670
M00226,매실,기타,기타,730,FALSE,FALSE,FALSE,,,"매실엑기스(세준,실온)",5688,780ml,780,ml,3.5,https://www.foodspring.co.kr/goods/detail/694632
M00246,인스턴트드라이이스트,기타,기타,638,FALSE,FALSE,FALSE,,,프라임 인스턴트드라이이스트 500g,3920,500g,500,g,1.5,https://www.foodspring.co.kr/goods/detail/789326
M00256,페퍼론치노,기타,기타,603,FALSE,FALSE,FALSE,,,신영 페퍼론치노 홀 200g,16960,200g,200,g,2.5,https://www.foodspring.co.kr/goods/detail/448937
M00266,머스터드소스,기타,기타,562,FALSE,FALSE,FALSE,,,움트리 머스터드소스,4160,925g,925,g,1.5,https://www.foodspring.co.kr/goods/detail/7212
M00276,매운고추,채소류,열매채소,548,FALSE,FALSE,FALSE,,,"매운고추락교,2.4kg,이엔푸드,실온,중국",8920,2.4kg,2.4,kg,3.35,https://www.foodspring.co.kr/goods/detail/693837
M00286,홍피망,기타,기타,525,FALSE,TRUE,TRUE,채소류,,홍피망(상품/80g내외/국산)1ea,1232,80g,80,g,3.5,https://www.foodspring.co.kr/goods/detail/781217
M00306,바질페스토,기타,기타,482,FALSE,FALSE,FALSE,,,바질페스토 180g/롱고바디,3696,180g,180,g,3.5,https://www.foodspring.co.kr/goods/detail/886082
M00316,목이버섯,채소류,버섯,462,FALSE,FALSE,FALSE,,,목이버섯 15g(중국산),1600,15g,15,g,6.5,https://www.foodspring.co.kr/goods/detail/948215
M00326,두릅,기타,기타,442,FALSE,FALSE,FALSE,,,땅두릅 500g,7176,500g,500,g,2.5,https://www.foodspring.co.kr/goods/detail/811488
M00336,카레,기타,기타,420,TRUE,FALSE,TRUE,,,오뚜기 카레(어린이용 80g/EA),2640,80g,80,g,2.5,https://www.foodspring.co.kr/goods/detail/868383
M00346,해바라기유,양념·기름,기름,401,FALSE,FALSE,FALSE,,,풍고앤타르투포 화이트트러플오일(해바라기유_250ml 250g/EA),18728,250ml,250,ml,2.65,https://www.foodspring.co.kr/goods/detail/689365
M00356,현미유,양념·기름,기름,378,FALSE,FALSE,FALSE,식량작물,,자이카오 현미유 500ml,5584,500ml,500,ml,2.5,https://www.foodspring.co.kr/goods/detail/638352
M00366,쫄면,곡류·면,면류,366,FALSE,FALSE,FALSE,,,쫄면(냉장/백미)1kg,1896,1kg,1,kg,5.5,https://www.foodspring.co.kr/goods/detail/844662
M00376,소갈비,기타,기타,347,FALSE,FALSE,FALSE,축산물,,얼큰 소갈비 해장국 600g 1봉,3520,600g,600,g,2.5,https://www.foodspring.co.kr/goods/detail/931738
