ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized
M70067,황태꼬치,기타,기타,1,False,False,False,,,황태꼬치,완3,황태꼬치
M70097,아몬드가루계량,과일·견과,견과·씨앗,1,False,True,True,,,아몬드가루계량,완3,아몬드가루계량
M70107,케찹토마토소스,채소류,열매채소,1,False,True,True,,,케찹토마토소스,완3,케찹토마토소스
M70147,마른호박고지,채소류,열매채소,1,False,True,True,,,마른호박고지,완3,마른호박고지
M70157,소스비빔냉면소스,곡류·면,면류,1,False,False,False,,,소스비빔냉면소스,완3,소스비빔냉면소스
M70167,제누와즈시트,기타,기타,1,False,False,False,,,제누와즈시트,완3,제누와즈시트
M70217,보일링크랩가루,곡류·면,밀가루·전분,1,False,False,False,,,보일링크랩가루,완3,보일링크랩가루
M70227,바질잎오렌지소스오렌지,기타,기타,1,False,True,True,,,바질잎오렌지소스오렌지,완3,바질잎오렌지소스오렌지
M70257,겨자겨자소스식초,양념·기름,식초·발효,1,False,False,False,,,겨자겨자소스식초,완3,겨자겨자소스식초
M70277,사워크림마요네즈로,유제품,우유·크림,1,False,False,False,,,사워크림마요네즈로,완3,사워크림마요네즈로
M70287,동원도토,기타,기타,1,False,False,False,,,도토,완3,동원도토
M70327,매운소스와찰순,기타,기타,1,False,False,False,,,매운소스와찰순,완3,매운소스와찰순
M70367,포장김,어패류,해조류,1,False,False,False,,,포장김,완3,포장김
M70417,작은면,곡류·면,면류,1,False,False,False,,,작은면,완3,작은면
M70447,통밀쿠키시중에판매되는둥근모양의통밀쿠키다이제스티브등,기타,기타,1,False,False,False,,,통밀쿠키시중에판매되는둥근모양의통밀쿠키다이제스티브등,완3,통밀쿠키시중에판매되는둥근모양의통밀쿠키다이제스티브등
M70457,호두집에있는걸로,과일·견과,견과·씨앗,1,False,True,True,,,호두집에있는걸로,완3,호두집에있는걸로
M70477,밥아빠,기타,기타,1,False,False,False,,,밥아빠,완3,밥아빠
M70497,초코머핀반죽생지,기타,기타,1,False,False,False,,,초코머핀반죽생지,완3,초코머핀반죽생지
M70507,크램미,기타,기타,1,False,False,False,,,크램미,완3,크램미
M70547,사이다콜라조그마한,양념·기름,당류,1,False,False,False,,,사이다콜라조그마한,완3,사이다콜라조그마한
M70567,이태리파슬리건조된것도무관,채소류,양념채소,1,False,False,False,,,이태리파슬리건조된것도무관,완3,이태리파슬리건조된것도무관
M70577,화이트초콜렛칩,기타,기타,1,False,False,False,,,화이트초콜렛칩,완3,화이트초콜렛칩
M70587,딜가슴살삶은육수,양념·기름,액젓·국물조미료,1,False,False,False,,,딜가슴살삶은육수,완3,딜가슴살삶은육수
M70617,CJ고메미트볼냉동,기타,기타,1,False,False,False,,,고메미트볼냉동,완3,CJ고메미트볼냉동
M70637,호두와아몬드,과일·견과,견과·씨앗,1,False,True,True,,,호두와아몬드,완3,호두와아몬드
M70647,타라미간,기타,기타,1,False,False,False,,,타라미간,완3,타라미간
M70677,생여주,채소류,양념채소,1,False,False,False,,,생여주,완3,생여주
M70687,나박썬배,과일·견과,과일,1,False,False,False,,,나박썬배,완3,나박썬배
M70737,두부밥,가공식품,두부·묵,1,False,False,False,,,두부밥,완3,두부밥
M70747,6년숙성된,기타,기타,1,False,False,False,,,년숙성된,완3,6년숙성된
M70787,찌개용냉동채소,기타,기타,1,False,False,False,,,냉동채소,완3,찌개용냉동채소
M70817,안주야직화불막창,기타,주류,1,False,False,False,,,안주야직화불막창,완3,안주야직화불막창
M70827,데코용어린잎,기타,기타,1,False,False,False,,,데코용어린잎,완3,데코용어린잎
M70897,곤자소니,기타,기타,1,False,False,False,,,곤자소니,완3,곤자소니
M70947,석이버섯,채소류,버섯,1,False,False,False,,,석이버섯,완3,석이버섯
M70987,드레싱소스마요네즈,양념·기름,기타양념,1,False,False,False,,,드레싱소스마요네즈,완3,드레싱소스마요네즈
M70997,물채소찔때,기타,물·음료,1,False,False,False,,,물채소찔때,완3,물채소찔때
M71007,여분의찬물,기타,물·음료,1,False,False,False,,,여분의찬물,완3,여분의찬물
M71017,파약간된장찌개고기,양념·기름,장류,1,False,False,False,,,파약간된장찌개고기,완3,파약간된장찌개고기
M71037,물등갈비손질용,기타,물·음료,1,False,False,False,,,물등갈비손질용,완3,물등갈비손질용
M71057,헤비크림상온,유제품,우유·크림,1,False,False,False,,,헤비크림상온,완3,헤비크림상온
M71067,재료황태채,기타,기타,1,False,False,False,,,재료황태채,완3,재료황태채
M71077,오곡쌀,곡류·면,쌀,1,False,False,False,,,오곡쌀,완3,오곡쌀
M71087,사과필링사과,과일·견과,과일,1,False,True,True,,,사과필링사과,완3,사과필링사과
M71097,송화버섯중크기,채소류,버섯,1,False,False,False,,,송화버섯중크기,완3,송화버섯중크기
M71117,얇은우동면사리,곡류·면,면류,1,False,False,False,,,얇은우동면사리,완3,얇은우동면사리
M71127,당삼,양념·기름,당류,1,False,False,False,,,당삼,완3,당삼
M71137,좋아하는김밥,어패류,해조류,1,False,False,False,,,좋아하는김밥,완3,좋아하는김밥
M71157,치토스스모키바베큐맛,기타,기타,1,False,False,False,,,치토스스모키바베큐맛,완3,치토스스모키바베큐맛
M71167,파조금생,채소류,양념채소,1,False,False,False,,,파조금생,완3,파조금생
M71187,방울토마토그외싱싱한과일,채소류,열매채소,1,False,True,True,,,방울토마토그외싱싱한과일,완3,방울토마토그외싱싱한과일
M71197,사태찜,기타,기타,1,False,False,False,,,사태찜,완3,사태찜
M71227,파불고기,채소류,양념채소,1,False,False,False,,,파불고기,완3,파불고기
M71247,도토리가루국내산,곡류·면,밀가루·전분,1,False,False,False,,,도토리가루국내산,완3,도토리가루국내산
M71267,쌀뜨물조림용,곡류·면,쌀,1,False,False,False,,,쌀뜨물조림용,완3,쌀뜨물조림용
M71297,쌀소면,곡류·면,면류,1,False,False,False,,,쌀소면,완3,쌀소면
M71317,수박껍질흰부분수박,기타,기타,1,False,True,True,,,수박껍질흰부분수박,완3,수박껍질흰부분수박
M71337,토마토바질디핑소스,채소류,열매채소,1,False,True,True,,,토마토바질디핑소스,완3,토마토바질디핑소스
M71347,레미아시저드레싱소스,기타,기타,1,False,False,False,,,레미아시저드레싱소스,완3,레미아시저드레싱소스
M71377,나쵸칩,기타,기타,1,False,False,False,,,나쵸칩,완3,나쵸칩
M71387,피클코니숑,기타,기타,1,False,False,False,,,피클코니숑,완3,피클코니숑
M71407,어슷썬빨간고추,채소류,열매채소,1,False,False,False,,,어슷썬빨간고추,완3,어슷썬빨간고추
M71417,사과잼땅콩잼,과일·견과,과일,1,False,True,True,,,사과잼땅콩잼,완3,사과잼땅콩잼
P00358,통밀가루,곡류·면,밀가루·전분,1,False,False,False,,,통밀가루,완3,통밀가루
M71477,3단무스라즈베리퓨레,기타,기타,1,False,False,False,,,단무스라즈베리퓨레,완3,3단무스라즈베리퓨레
M71497,떡볶이떡오뚜기맛있는국물,곡류·면,떡,1,False,False,False,,,떡볶이떡오뚜기맛있는국물,완3,떡볶이떡오뚜기맛있는국물
M71507,스윗비아유자청,양념·기름,식초·발효,1,False,False,False,,,스윗비아유자청,완3,스윗비아유자청
M71517,애플망고와라즈베리,과일·견과,과일,1,False,True,True,,,애플망고와라즈베리,완3,애플망고와라즈베리
M71547,채소와고기,기타,기타,1,False,False,False,,,채소와고기,완3,채소와고기
M71567,깨겨자소스마요네즈,양념·기름,기타양념,1,False,False,False,,,깨겨자소스마요네즈,완3,깨겨자소스마요네즈
M71577,강황곤약미,기타,기타,1,False,False,False,,,강황곤약미,완3,강황곤약미
M71597,탄산주스,기타,주류,1,False,False,False,,,탄산주스,완3,탄산주스
M71607,경자국밥육수,양념·기름,액젓·국물조미료,1,False,False,False,,,경자국밥육수,완3,경자국밥육수
M71647,전처리한무화과전량라벤더시럽끓는물,기타,물·음료,1,False,False,False,,,전처리한무화과전량라벤더시럽끓는물,완3,전처리한무화과전량라벤더시럽끓는물
M71707,화이트발사믹레몬즙,기타,기타,1,False,True,True,,,화이트발사믹레몬즙,완3,화이트발사믹레몬즙
M71737,선택사항라임,기타,기타,1,False,False,False,,,선택사항라임,완3,선택사항라임
M71757,토마토소스토마토,채소류,열매채소,1,False,True,True,,,토마토소스토마토,완3,토마토소스토마토
M71807,토마토메리네이트,채소류,열매채소,1,False,True,True,,,토마토메리네이트,완3,토마토메리네이트
M71817,육수꺼리,양념·기름,액젓·국물조미료,1,False,False,False,,,육수꺼리,완3,육수꺼리
M71837,홍미채,양념·기름,장류,1,False,False,False,,,홍미채,완3,홍미채
M71847,와사마요네즈,양념·기름,기타양념,1,False,False,False,,,와사마요네즈,완3,와사마요네즈
P00361,선택캐슈넛,기타,기타,1,False,False,False,,,선택캐슈넛,완3,선택캐슈넛
M71887,보라무,기타,기타,1,False,False,False,,,보라무,완3,보라무
M71897,메밀면메밀면,곡류·면,면류,1,False,True,True,,,메밀면메밀면,완3,메밀면메밀면
M71907,스지삶은물,기타,물·음료,1,False,False,False,,,스지삶은물,완3,스지삶은물
M71977,크림오브머쉬룸스프,유제품,우유·크림,1,False,False,False,,,크림오브머쉬룸스프,완3,크림오브머쉬룸스프
M71987,말차췌이프로틴,기타,기타,1,False,False,False,,,말차췌이프로틴,완3,말차췌이프로틴
M71997,젝다니엘,기타,기타,1,False,False,False,,,젝다니엘,완3,젝다니엘
M72017,원당매실청,양념·기름,식초·발효,1,False,False,False,,,원당매실청,완3,원당매실청
M72027,물유린기소스간,양념·기름,기름,1,False,False,False,,,물유린기소스간,완3,물유린기소스간
M72037,믹스페퍼,양념·기름,식초·발효,1,False,False,False,,,믹스페퍼,완3,믹스페퍼
M72067,복숭아통조림복숭아도,기타,기타,1,False,True,True,,,복숭아통조림복숭아도,완3,복숭아통조림복숭아도
M72077,다크컴파운드찹스,채소류,양념채소,1,False,False,False,,,다크컴파운드찹스,완3,다크컴파운드찹스
M72107,페퍼론치노땡초,기타,기타,1,False,False,False,,,페퍼론치노땡초,완3,페퍼론치노땡초
M72117,해삼채,양념·기름,기름,1,False,False,False,,,해삼채,완3,해삼채
M72127,자두씨제거후,기타,기타,1,False,False,False,,,자두씨제거후,완3,자두씨제거후
M72137,생강청생강도함께갈아서사용,양념·기름,식초·발효,1,False,True,True,,,생강청생강도함께갈아서사용,완3,생강청생강도함께갈아서사용
M72237,통쭈꾸미,기타,기타,1,False,False,False,,,통쭈꾸미,완3,통쭈꾸미
M72257,백숙키트,기타,기타,1,False,False,False,,,백숙키트,완3,백숙키트
M72267,족발남아있는족발,기타,기타,1,False,False,False,,,족발남아있는족발,완3,족발남아있는족발
P00368,핫케이크믹스,양념·기름,기름,1,False,False,False,,,핫케이크믹스,완3,핫케이크믹스
M72327,콘밀옥수수가루,곡류·면,밀가루·전분,1,False,True,True,,,콘밀옥수수가루,완3,콘밀옥수수가루
M72347,함박스테이크고기,기타,기타,1,False,False,False,,,함박스테이크고기,완3,함박스테이크고기
M72367,불고기시,기타,기타,1,False,False,False,,,불고기시,완3,불고기시
M72387,막대초코,기타,기타,1,False,False,False,,,막대초코,완3,막대초코
M72397,작은크기늙은호박,채소류,열매채소,1,False,True,True,,,작은크기늙은호박,완3,작은크기늙은호박
M72407,양지차돌,기타,기타,1,False,False,False,,,양지차돌,완3,양지차돌
M72417,홍합삶은것홍합살국물국물홍합살한,기타,물·음료,1,False,True,True,,,홍합삶은것홍합살국물국물홍합살한,완3,홍합삶은것홍합살국물국물홍합살한
M72427,투명스카치테이프,기타,기타,1,False,False,False,,,투명스카치테이프,완3,투명스카치테이프
M72447,수입냉동소갈비,기타,기타,1,False,False,False,,,수입냉동소갈비,완3,수입냉동소갈비
M72467,파슬리루만들기버터,유제품,버터,1,False,False,False,,,파슬리루만들기버터,완3,파슬리루만들기버터
M72477,매운고추중,채소류,열매채소,1,False,False,False,,,매운고추중,완3,매운고추중
P00369,불간,채소류,양념채소,1,False,False,False,,,불간,완3,불간
M72517,파래두,채소류,양념채소,1,False,False,False,,,파래두,완3,파래두
M72527,슈가파우더정당량,채소류,양념채소,1,False,False,False,,,슈가파우더정당량,완3,슈가파우더정당량
M72537,레몬즙국물간액젓,양념·기름,액젓·국물조미료,1,False,True,True,,,레몬즙국물간액젓,완3,레몬즙국물간액젓
M72577,두부큰사이즈준비,가공식품,두부·묵,1,False,False,False,,,두부큰사이즈준비,완3,두부큰사이즈준비
M72587,케찹닭다리구이,양념·기름,기타양념,1,False,False,False,,,케찹닭다리구이,완3,케찹닭다리구이
P00372,닭다리,양념·기름,기타양념,1,False,False,False,,,닭다리,완3,닭다리
M72597,휘밍크림요리용,유제품,우유·크림,1,False,False,False,,,휘밍크림요리용,완3,휘밍크림요리용
M72607,홍진미중가루,곡류·면,밀가루·전분,1,False,False,False,,,홍진미중가루,완3,홍진미중가루
M72637,깨약간소스카놀라유,과일·견과,견과·씨앗,1,False,False,False,,,깨약간소스카놀라유,완3,깨약간소스카놀라유
M72677,대림선캠프하우스,기타,기타,1,False,False,False,,,대림선캠프하우스,완3,대림선캠프하우스
M72707,우동사리넣고싶은만큼,채소류,열매채소,1,False,False,False,,,우동사리넣고싶은만큼,완3,우동사리넣고싶은만큼
M72727,원하는채소썰은것,기타,기타,1,False,False,False,,,원하는채소썰은,완3,원하는채소썰은것
M72747,찹쌀탕수육키트,채소류,양념채소,1,False,True,True,,,찹쌀탕수육키트,완3,찹쌀탕수육키트
M72757,데코홍시,기타,기타,1,False,False,False,,,데코홍시,완3,데코홍시
M72767,초생강,양념·기름,기타양념,1,False,True,True,,,초생강,완3,초생강
M72797,시나몬파우더믹스,채소류,양념채소,1,False,False,False,,,시나몬파우더믹스,완3,시나몬파우더믹스
M72817,b다크초콜릿,기타,기타,1,False,False,False,,,b다크초콜릿,완3,b다크초콜릿
M72867,할라피뇨칩,기타,기타,1,False,False,False,,,할라피뇨칩,완3,할라피뇨칩
M72887,땅콩새순,기타,기타,1,False,True,True,,,땅콩새순,완3,땅콩새순
M72927,디즈니프린세스후리가케,기타,기타,1,False,False,False,,,디즈니프린세스후리가케,완3,디즈니프린세스후리가케
M72957,모닝롤,기타,기타,1,False,False,False,,,모닝롤,완3,모닝롤
M72967,사과즙시판사과쥬스,과일·견과,과일,1,False,True,True,,,사과즙시판사과쥬스,완3,사과즙시판사과쥬스
M72977,뜨거운물아주,기타,주류,1,False,False,False,,,뜨거운물아주,완3,뜨거운물아주
M72987,헹군묵은지,가공식품,두부·묵,1,False,False,False,,,헹군묵은지,완3,헹군묵은지
M73017,누룩소율곡,기타,기타,1,False,False,False,,,누룩소율곡,완3,누룩소율곡
M73027,케이퍼락교초생강와사비등,기타,기타,1,False,True,True,,,케이퍼락교초생강와사비등,완3,케이퍼락교초생강와사비등
M73037,코코아파우더카카오파우더,채소류,양념채소,1,False,False,False,,,코코아파우더카카오파우더,완3,코코아파우더카카오파우더
M73057,보늬밤시럽,기타,기타,1,False,False,False,,,보늬밤시럽,완3,보늬밤시럽
M73067,던지네스크랩,기타,기타,1,False,False,False,,,던지네스크랩,완3,던지네스크랩
M73077,물알칼리수권장미온수,기타,물·음료,1,False,False,False,,,물알칼리수권장미온수,완3,물알칼리수권장미온수
M73097,엠엔엠초콜릿,기타,기타,1,False,False,False,,,엠엔엠초콜릿,완3,엠엔엠초콜릿
M73117,짜글이찌,기타,기타,1,False,False,False,,,짜글이찌,완3,짜글이찌
P00373,제가만든간단버전냉동새우,어패류,갑각류,1,False,True,True,,,제가만든간단버전냉동새우,완3,제가만든간단버전냉동새우
M73177,스위트칠리기호에따라서,기타,기타,1,False,False,False,,,스위트칠리기호에따라서,완3,스위트칠리기호에따라서
M73197,허브솔트소면,곡류·면,면류,1,False,False,False,,,허브솔트소면,완3,허브솔트소면
M73217,햇반흰쌀밥,곡류·면,쌀,1,False,False,False,,,햇반흰쌀밥,완3,햇반흰쌀밥
