ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M01317,다시국물,기타,물·음료,42,False,False,False,,,다시국물,완3,다시국물,다시멸치(이력추적 국물용 1Kg/EA),12923,1Kg,1.0,Kg,1.45,https://www.foodspring.co.kr/goods/detail/656391
M01404,민들레,기타,기타,38,False,False,False,,,민들레,완1,,민들레 고무장갑 단미니 손목장갑 1타 (10개입),10800,10개입,10.0,개입,2.15,https://www.foodspring.co.kr/goods/detail/977216
M01624,김치,어패류,해조류,31,False,False,False,,,김치,완1,,김치찜 800g,6320,800g,800.0,g,3.5,https://www.foodspring.co.kr/goods/detail/834882
M01662,빨간파프리카,,,30,False,True,True,,,빨간파프리카,완5,빨간파프리카,★입점 특가★ 빨강파프리카 (M-3XL 빨간색 / 파프리카 / 국내산) 1kg,4776,1kg,1.0,kg,0.35,https://www.foodspring.co.kr/goods/detail/952419
M01724,나물,채소류,잎채소,29,False,False,False,,,나물,완1,,재우 숙주나물(1Kg/Kg출고),1365,1Kg,1.0,Kg,2.5,https://www.foodspring.co.kr/goods/detail/387405
M01810,화이트와인비네거,기타,기타,27,False,False,False,,,화이트와인비네거,완10,,갈레티 화이트와인 비네거 500ml (상온),3520,500ml,500.0,ml,1.3,https://www.foodspring.co.kr/goods/detail/677708
M01924,토마토,채소류,열매채소,24,False,True,True,채소류,,토마토,완1,,토마토 500g,2096,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/564471
M01943,굵은고추가루,,,24,False,False,False,,,굵은고추가루,완6,,굵은 고추가루 김치용 [중국산] [1kg] [일등초],7280,1kg,1.0,kg,1.05,https://www.foodspring.co.kr/goods/detail/815583
M02233,우리밀통밀,기타,기타,19,False,False,False,,,우리밀통밀,완6,,우리밀농협 튀김가루(우리밀_발아통밀 500g/EA),3090,500g,500.0,g,1.1,https://www.foodspring.co.kr/goods/detail/403055
M02596,크림소스,,,16,False,False,False,,,크림소스,완2,,크림소스(면사랑/냉장/2kg)ea,6960,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/966413
M02628,씨없는포도,과일·견과,과일,15,False,True,True,과일류,,씨없는포도,완8,,★과일 특가★ 씨없는 크림슨포도 800g / pack,7392,800g,800.0,g,4.05,https://www.foodspring.co.kr/goods/detail/976605
M02644,스틱버터,유제품,버터,15,False,False,False,,,스틱버터,완1,,크리스업 감자스틱 허니버터 40g 10봉,8880,40g,40.0,g,6.4,https://www.foodspring.co.kr/goods/detail/891801
