ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00954,플레인요플레,기타,기타,73,False,False,False,,,플레인요플레,완1,,업소용 아워홈 플레인 요거트 5kg 떠먹는 요플레 요구르트,15040,5kg,5.0,kg,0.9,https://www.foodspring.co.kr/goods/detail/752059
M01364,단호박,채소류,열매채소,40,False,True,True,채소류,,단호박,완1,,단호박1통 (약800g),1920,800g,800.0,g,3.5,https://www.foodspring.co.kr/goods/detail/756123
M01472,비트가루,곡류·면,밀가루·전분,35,False,False,False,,,비트가루,완5,비트가루,비트 때가쏙 가루 세탁세제 2.7kg,6000,2.7kg,2.7,kg,1.5,https://www.foodspring.co.kr/goods/detail/531468
M01606,갈아만든배음료,과일·견과,과일,31,False,False,False,,,갈아만든배음료,완2,,해태 갈아만든배 1.5L 배음료 배쥬스 갈배,2400,1.5L,1.5,L,1.3,https://www.foodspring.co.kr/goods/detail/832646
M01708,짜장분말가루,곡류·면,밀가루·전분,29,False,False,False,,,짜장분말가루,완8,,"짜장[오뚜기,짜장분말,가루(50인분)]1kg",7320,1kg,1.0,kg,1.3,https://www.foodspring.co.kr/goods/detail/389735
M01908,삼계탕약재,기타,기타,25,False,False,False,,,삼계탕약재,완8,,국산 한방 삼계탕 백숙 수육 재료 약재,880,100g,100.0,g,1.45,https://www.foodspring.co.kr/goods/detail/614228
M01966,이탈리안시즈닝,기타,기타,24,False,False,False,,,이탈리안시즈닝,완2,,이탈리안허브시즈닝(300g)(신영),5280,300g,300.0,g,1.5,https://www.foodspring.co.kr/goods/detail/817237
M02222,다시마국물,,,20,False,False,False,,,다시마국물,완5,다시마국물,자두식품 완도 자른 다시마 20g 10개 국물 육수용 건다시마 업소용,10904,20g,20.0,g,0.6,https://www.foodspring.co.kr/goods/detail/521032
M02339,중파,채소류,양념채소,18,False,False,False,,,중파,완9,,A_[특가판매]일성 은박중파운드 200*40*90(100개),12328,100개,100.0,개,-0.15,https://www.foodspring.co.kr/goods/detail/967464
M02394,양파,,,18,False,True,True,,,양파,완1,,양파 1kg,1440,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/756079
M02536,삼발소스,기타,기타,16,False,False,False,,,삼발소스,완2,,코키타 삼발 짜베 칠리소스 400g (상온),3840,400g,400.0,g,1.3,https://www.foodspring.co.kr/goods/detail/894085
M02810,파슬리찹,채소류,양념채소,14,False,False,False,,,파슬리찹,완10,,신영에프에스 내츄럴스파이스 파슬리 100g 파세리찹,3400,100g,100.0,g,1.1,https://www.foodspring.co.kr/goods/detail/772728
M02864,바질,기타,기타,14,False,False,False,,,바질,완1,,바질(10g),720,10g,10.0,g,3.5,https://www.foodspring.co.kr/goods/detail/938119
M02883,페퍼론치노홀,기타,기타,14,False,False,False,,,페퍼론치노홀,완6,,신영 페퍼론치노 홀 200g,16960,200g,200.0,g,1.5,https://www.foodspring.co.kr/goods/detail/448937
M02897,김김밥용,어패류,해조류,13,False,False,False,,,김김밥용,완3,김김밥용,토평 김밥 단무지 3kg 12mm 김밥용,3984,3kg,3.0,kg,1.4,https://www.foodspring.co.kr/goods/detail/911762
M02972,닭국물,육류·계란,닭고기,13,False,False,False,,,닭국물,완5,닭국물,다우린 화로닭발 국물 닭발 800g,6640,800g,800.0,g,3.5,https://www.foodspring.co.kr/goods/detail/736980
M03050,사과중,과일·견과,과일,12,False,True,True,과일류,,사과중,완10,,25년 사과 햇사과 부사사과 가정용 중소과 10kg,41520,10kg,10.0,kg,1.1,https://www.foodspring.co.kr/goods/detail/663435
M03114,브랜디,기타,기타,12,False,False,False,,,브랜디,완1,,(소량인쇄가능)커플술잔 꼬냑 와인 위스키 브랜디유리컵,2240,250ml,250.0,ml,1.05,https://www.foodspring.co.kr/goods/detail/929570
M03206,완두콩통조림,기타,기타,12,False,False,False,,,완두콩통조림,완2,,완두콩 통조림 400G 삼아,1176,400G,400.0,G,1.5,https://www.foodspring.co.kr/goods/detail/520348
M03238,야채샐러드,기타,기타,12,False,False,False,,,야채샐러드,완8,,황보마을 혼합야채(4종 샐러드용 1Kg),6000,1Kg,1.0,Kg,1.4,https://www.foodspring.co.kr/goods/detail/493845
M03303,토마토미트소스,채소류,열매채소,11,False,True,True,채소류,,토마토미트소스,완6,,[5개/무료배송] 코다노 토마토미트스파게티소스 2kg 냉동 고기 파스타용 소스,10640,5개,5.0,개,-0.65,https://www.foodspring.co.kr/goods/detail/647914
