ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00581,간깨,과일·견과,견과·씨앗,171,False,False,False,,,간깨,완4,,수랏간 깨소금 1kg,6240,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/976754
M00992,베이크드빈,기타,기타,68,False,False,False,,,베이크드빈,완5,베이크드빈,"베이크드빈스[삼아,부대콩]400G",1216,400G,400.0,G,3.5,https://www.foodspring.co.kr/goods/detail/391691
M00994,과메기,기타,기타,67,False,False,False,,,과메기,완1,,포항 구룡포 과메기 반손질 20미 (40쪽) 꽁치,22800,20미,20.0,미,0.15,https://www.foodspring.co.kr/goods/detail/920251
M01394,매운고추가루,,,38,False,False,False,,,매운고추가루,완1,,한식품 매운 굵은 고추가루 1kg 거친 김치용,9600,1kg,1.0,kg,1.25,https://www.foodspring.co.kr/goods/detail/842361
M01592,유기농설탕,,,32,False,False,False,,,유기농설탕,완5,유기농설탕,베이크 유기농 마스코바도설탕 10kg,56576,10kg,10.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/750166
M01714,삼계탕용닭,육류·계란,닭고기,29,False,False,False,,,삼계탕용닭,완1,,하림 삼계탕용 통닭 530g 영계 냉동,4160,530g,530.0,g,3.45,https://www.foodspring.co.kr/goods/detail/793161
M01728,생강매실맛술,기타,기타,29,False,True,True,채소류,,생강매실맛술,완8,,생강&매실 맛술 1.8L,5808,1.8L,1.8,L,1.5,https://www.foodspring.co.kr/goods/detail/742463
M01749,맑은액젓,양념·기름,액젓·국물조미료,28,False,False,False,,,맑은액젓,완9,,맑은바다_까나리액젓 9kg 몽고 1개,9520,9kg,9.0,kg,4.5,https://www.foodspring.co.kr/goods/detail/828839
M02434,우거지,기타,기타,17,False,False,False,,,우거지,완1,,"우거지(생),1Kg,국산",2224,1Kg,1.0,Kg,3.5,https://www.foodspring.co.kr/goods/detail/642956
M02685,알룰로스시럽,기타,기타,15,False,False,False,,,알룰로스시럽,완7,알룰로스시럽,해표 알룰로스 시럽용 700g,6960,700g,700.0,g,1.5,https://www.foodspring.co.kr/goods/detail/921846
M02850,소고기다시다,,,14,False,False,False,,,소고기다시다,완10,,화미 골드다시 2kg 소고기다시다,8560,2kg,2.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/448730
M02894,미나리,기타,기타,13,False,True,True,채소류,,미나리,완1,,미나리 1단 약450g,1520,450g,450.0,g,3.5,https://www.foodspring.co.kr/goods/detail/847776
M02958,박나물,채소류,잎채소,13,False,False,False,,,박나물,완8,,두레박 숙주나물(KG),1478,1KG,1.0,KG,1.5,https://www.foodspring.co.kr/goods/detail/612581
M03189,핫초코파우더,채소류,양념채소,12,False,False,False,,,핫초코파우더,완9,,위드고 핫초코 파우더 900g,4320,900g,900.0,g,1.5,https://www.foodspring.co.kr/goods/detail/64849
M03226,옥수수전분가루,곡류·면,밀가루·전분,12,False,True,True,식량작물,,옥수수전분가루,완2,,한식품 옥수수 전분가루 3kg,5840,3kg,3.0,kg,4.5,https://www.foodspring.co.kr/goods/detail/748244
