ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00864,고추장,,,86,False,False,False,,,고추장,완1,,고추장[순창궁고추장]6.5kg,14800,6.5kg,6.5,kg,3.5,https://www.foodspring.co.kr/goods/detail/870418
M01034,올리고당,양념·기름,당류,63,False,False,False,,,올리고당,완1,,올리고당 700G 대상,2936,700G,700.0,G,5.5,https://www.foodspring.co.kr/goods/detail/525699
M01664,청크초콜릿,양념·기름,식초·발효,30,False,False,False,,,청크초콜릿,완1,,칼리바우트 밀크 청크 초콜릿 200g,4560,200g,200.0,g,1.5,https://www.foodspring.co.kr/goods/detail/749303
M01683,비정제황설탕,,,30,False,False,False,,,비정제황설탕,완6,,데메라라 비정제 황설탕 5KG 사탕수수당,25744,5KG,5.0,KG,1.4,https://www.foodspring.co.kr/goods/detail/525912
M01944,고수,기타,기타,24,False,False,False,,,고수,완1,,고수(상품/국산)100g,3136,100g,100.0,g,3.5,https://www.foodspring.co.kr/goods/detail/781415
M02166,비타민채소,기타,기타,20,False,False,False,,,비타민채소,완2,,★매일시장특가★ 비타민( 상 500g/EA) 초특가 야채 채소,2565,500g,500.0,g,0.8,https://www.foodspring.co.kr/goods/detail/734256
M02294,푸실리파스타,채소류,양념채소,19,False,False,False,,,푸실리파스타,완1,,푸실리 500G 파스타비노,968,500G,500.0,G,1.5,https://www.foodspring.co.kr/goods/detail/591388
M02440,곰표분식집우동다시,기타,기타,17,False,False,False,,,분식집우동다시,완10,,곰표 분식집 우동다시 2kg,5600,2kg,2.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/944660
M02496,미니토마토,채소류,열매채소,17,False,True,True,채소류,,미니토마토,완2,,푸디버디 새콤달콤미니아란치니토마토(390g/EA),3293,390g,390.0,g,1.15,https://www.foodspring.co.kr/goods/detail/873305
M02524,갈비,기타,기타,16,False,False,False,축산물,,갈비,완1,,도리토스 갈비 84g,1032,84g,84.0,g,2.5,https://www.foodspring.co.kr/goods/detail/682406
M02657,버터한,유제품,버터,15,False,False,False,,,버터한,완3,버터한,서울우유 고소한 버터 450g 담백 풍부 부드럽고 고소한 풍미,7040,450g,450.0,g,5.8,https://www.foodspring.co.kr/goods/detail/450014
M02876,카누커피,기타,기타,14,False,False,False,,,카누커피,완2,,카누 커피(마일드_0.9g*100T 90g/EA),27000,0.9g,0.9,g,1.15,https://www.foodspring.co.kr/goods/detail/399067
M02976,곤드레,기타,기타,13,False,False,False,,,곤드레,완2,,곤드레 냉면사리 2kg*9봉,48240,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/455396
M03172,카펠리니면,곡류·면,면류,12,False,False,False,,,카펠리니면,완5,카펠리니면,카펠리니파스타면(500g)(데체코),3080,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/795366
M03274,또띠아,기타,기타,11,False,False,False,,,또띠아,완1,,"또띠아,576g(8인치),플라워,8인치(EA)",3056,576g,576.0,g,3.25,https://www.foodspring.co.kr/goods/detail/971883
M03450,갓피클,기타,기타,10,False,False,False,,,갓피클,완10,,순천 홍갓 피클 1kg 업소용 갓김치 밑반찬,13048,1kg,1.0,kg,1.3,https://www.foodspring.co.kr/goods/detail/645837
M03483,꽃송이버섯,채소류,버섯,10,False,False,False,,,꽃송이버섯,완6,,건조 백목이버섯 특상품 1kg 은이 꽃송이 휜목이버섯,15920,1kg,1.0,kg,4.05,https://www.foodspring.co.kr/goods/detail/532238
M03552,김치밥,어패류,해조류,10,False,False,False,,,김치밥,완5,김치밥,(냉동)[엄지] 김치치즈주먹밥,704,100g,100.0,g,1.5,https://www.foodspring.co.kr/goods/detail/795025
M03720,연겨자소스,기타,기타,10,False,False,False,,,연겨자소스,완10,,튜브 연겨자(오뚜기 100g) 머스타드 겨자 소스,3928,100g,100.0,g,1.15,https://www.foodspring.co.kr/goods/detail/458501
M03734,비트,기타,기타,10,False,False,False,,,비트,완1,,비트(상품/국산)300g내외,1792,300g,300.0,g,3.5,https://www.foodspring.co.kr/goods/detail/781398
M03904,가지나물,채소류,잎채소,9,False,True,True,채소류,,가지나물,완1,,빼어날수 건가지 300g 가지 말린가지 나물재료 건나물 가지나물 식자재 업소용 반찬재료,17880,300g,300.0,g,0.1,https://www.foodspring.co.kr/goods/detail/728506
M04084,검은콩서리태,기타,기타,8,False,False,False,,,검은콩서리태,완1,,검은콩 콩가루(할매손 콩맷돌 850g) 검정콩가루 서리태가루 맷돌콩가루 미숫가루재료 콩국수재료 선식재료 식자재 업소용,11408,850g,850.0,g,-0.75,https://www.foodspring.co.kr/goods/detail/706002
M04090,들기름참기름,,,8,False,False,False,,,들기름참기름,완10,,들기름 참기름대용 고소한기름 해표 1.8Kg 업소용,45424,1.8Kg,1.8,Kg,1.1,https://www.foodspring.co.kr/goods/detail/935662
M04166,칼국수건면,곡류·면,면류,8,False,False,False,,,칼국수건면,완2,,오뚜기 칼국수 건면 900g,2800,900g,900.0,g,3.5,https://www.foodspring.co.kr/goods/detail/529110
M04193,손질주꾸미,기타,주류,8,False,False,False,,,손질주꾸미,완6,,냉동쭈꾸미 200g(8미) 손질 주꾸미,3600,200g,200.0,g,1.45,https://www.foodspring.co.kr/goods/detail/958866
M04211,후르츠칵테일통조림,,,8,False,False,False,,,후르츠칵테일통조림,완4,,델몬트 후르츠칵테일 통조림 850g 24개,52480,850g,850.0,g,1.35,https://www.foodspring.co.kr/goods/detail/466028
M04292,견과류호두,과일·견과,견과·씨앗,8,False,True,True,,,견과류호두,완5,견과류호두,두리 혼합 견과류 1kg 호두 아몬드 캐슈넛 호박씨 해바라기씨,10160,1kg,1.0,kg,1.8,https://www.foodspring.co.kr/goods/detail/449007
M04317,겨자분말가루,,,8,False,False,False,,,겨자가루,완3,겨자가루,오뚜기 겨자 분말 200g 가루,1806,200g,200.0,g,1.5,https://www.foodspring.co.kr/goods/detail/368130
M04343,스틱과자,기타,기타,8,False,False,False,,,스틱과자,완6,,미니 롱 스틱 과자 80g,103040,80g,80.0,g,0.5,https://www.foodspring.co.kr/goods/detail/370420
