ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00914,파슬리가루,곡류·면,밀가루·전분,77,False,False,False,,,파슬리가루,완1,,파슬리가루 200g 리필용,3836,200g,200.0,g,3.5,https://www.foodspring.co.kr/goods/detail/370867
M01067,밀가루중력분,,,60,True,False,True,,,밀가루중력분,완3,밀가루중력분,대한제분 곰표밀가루 중력분 1kg,1160,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/588877
M01191,진한콩국물,기타,물·음료,50,False,False,False,,,진한콩국물,완4,,미담채 콩가득 850g 1개 고소하고 진한 콩국수 국물용 분말,4800,850g,850.0,g,0.8,https://www.foodspring.co.kr/goods/detail/668684
M01498,닭볶음용닭,육류·계란,닭고기,34,False,False,False,,,닭볶음용닭,완8,,(냉동) 국산 닭절단육 1kg 국내산 닭도리육 생닭 볶음용 절단닭,4400,1kg,1.0,kg,2.7,https://www.foodspring.co.kr/goods/detail/832608
M01674,버섯,채소류,버섯,30,False,False,False,,,버섯,완1,,팩느타리버섯 국내산 200g,712,200g,200.0,g,5.5,https://www.foodspring.co.kr/goods/detail/564676
M01794,둥지물냉면,곡류·면,면류,27,False,False,False,,,둥지물냉면,완1,,둥지 물 냉면 멀티 161G X 4개입 농심,9024,161G,161.0,G,3.3,https://www.foodspring.co.kr/goods/detail/543076
M02076,건조크랜베리,기타,기타,22,False,False,False,,,건조크랜베리,완2,,에스파씨오 건조과일 건크랜베리 1kg,6551,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/893994
M02082,펜네파스타,채소류,양념채소,22,False,False,False,,,펜네파스타,완5,펜네파스타,리노 펜네 파스타 500g,1024,500g,500.0,g,1.5,https://www.foodspring.co.kr/goods/detail/887685
M02286,절임물,기타,물·음료,19,False,False,False,,,절임물,완2,,*명이나물절임* 울릉도 명이나물 절임 1kg,15920,1kg,1.0,kg,1.3,https://www.foodspring.co.kr/goods/detail/944747
M02411,맛짬뽕,기타,기타,17,False,False,False,,,맛짬뽕,완4,,얼큰한 불맛 가득 통영 굴 짬뽕,7200,800g,800.0,g,1.5,https://www.foodspring.co.kr/goods/detail/825225
