ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00434,다시물,기타,물·음료,269,False,False,False,,,다시물,완1,,다시멸치(이력추적 국물용 1Kg/EA),12923,1Kg,1.0,Kg,1.45,https://www.foodspring.co.kr/goods/detail/656391
M01418,작은당,양념·기름,당류,37,False,False,False,,,작은당,완8,,⭐️알비트 레드비트 작은 사이즈 알당 250g 이하⭐️,1760,250g,250.0,g,3.0,https://www.foodspring.co.kr/goods/detail/713897
M01436,떡국용떡,곡류·면,떡,36,False,False,False,,,떡국용떡,완2,,쌀떡국떡(금성 3kg) 업소용 떡국떡,7072,3kg,3.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/457370
M01663,현미가루,곡류·면,밀가루·전분,30,False,False,False,식량작물,,현미가루,완6,,안심곳간 현미쌀가루 1kg,3120,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/778072
M01973,스파게티토마토소스,,,24,False,True,True,채소류,,스파게티토마토소스,완6,,하인즈 스파게티 토마토 비프소스 3kg,19040,3kg,3.0,kg,1.45,https://www.foodspring.co.kr/goods/detail/310891
M02146,로투스스프레드,기타,기타,21,False,False,False,,,로투스스프레드,완2,,[로투스]스프레드400g(OCB),3680,400g,400.0,g,1.5,https://www.foodspring.co.kr/goods/detail/802521
M02228,흑마늘소금,,,20,False,False,False,,,흑마늘소금,완8,,의성 흑마늘 품은 구운소금 1kg,5600,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/945440
M02924,오코노미야키소스,기타,기타,13,False,False,False,,,오코노미야키소스,완1,,오꼬노미소스(이엔 1.8L)X6 오코노미야키 소스 야키소바 타코야키 일본 일식재료 식자재 업소용 이자카야,60992,1.8L,1.8,L,-0.4,https://www.foodspring.co.kr/goods/detail/21308
M02995,버터실온,유제품,버터,13,False,False,False,,,버터실온,완7,버터실온,"땅콩버터(크리미)(리고,실온)",6048,510g,510.0,g,6.5,https://www.foodspring.co.kr/goods/detail/694383
M03156,육수다시,양념·기름,액젓·국물조미료,12,False,False,False,,,육수다시,완2,,멸치육수(청우/우동다시/멸치진국),5680,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/609507
