ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00604,샐러드야채,기타,기타,157,False,False,False,,,샐러드야채,완1,,샐러드 야채믹스 250g,3200,250g,250.0,g,1.5,https://www.foodspring.co.kr/goods/detail/756180
M00944,에리스리,기타,기타,74,False,False,False,,,에리스리,완1,,신선약초 에리스리톨위드스테비아 200g,9520,200g,200.0,g,1.45,https://www.foodspring.co.kr/goods/detail/755837
M01054,매운건고추,채소류,열매채소,61,False,True,True,채소류,,매운건고추,완1,,감칠나게매운 베트남건고추70g,1760,70g,70.0,g,1.5,https://www.foodspring.co.kr/goods/detail/66873
M01285,두부부침용,가공식품,두부·묵,44,True,False,True,,,두부부침용,완7,두부부침용,해두른 판두부(부침용 3Kg/EA),3923,3Kg,3.0,Kg,4.5,https://www.foodspring.co.kr/goods/detail/498698
M01604,귀리,기타,기타,31,False,True,True,식량작물,,귀리,완1,,귀리 1kg/청산곡물,1680,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/759219
M01845,어린잎새싹,기타,기타,26,False,False,False,,,어린잎새싹,완7,어린잎새싹,베이비채소(어린순) 50g 여린잎 어린순 새싹채소,760,50g,50.0,g,1.15,https://www.foodspring.co.kr/goods/detail/975975
M02094,옥수수콘통조림,기타,기타,21,False,True,True,식량작물,,옥수수콘통조림,완1,,라리 스위트콘 425g 옥수수콘 통조림 단품1개,880,425g,425.0,g,1.2,https://www.foodspring.co.kr/goods/detail/757174
M02216,새싹야채,기타,기타,20,False,False,False,,,새싹야채,완2,,★매일시장특가★ 모듬새싹 (500G/EA) 새싹 모듬 야채,3503,500G,500.0,G,0.9,https://www.foodspring.co.kr/goods/detail/679797
M02364,맛술,기타,기타,18,False,False,False,,,맛술,완1,,맛술/백설/생강/800ml,2720,800ml,800.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/844443
M02458,견과류가루,곡류·면,밀가루·전분,17,False,False,False,,,견과류가루,완8,,한솔 땅콩분태가루 견과류가루 1kg,5600,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/947895
M02645,누텔라잼,기타,기타,15,False,False,False,,,누텔라잼,완7,누텔라잼,페레로 누텔라 카트리지 1kg 쵸코잼,12536,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/969970
M03016,에스프레소커피,기타,기타,13,False,False,False,,,에스프레소커피,완2,,셀리니 에스프레소 36g 스틱커피,6336,36g,36.0,g,1.5,https://www.foodspring.co.kr/goods/detail/536052
M03354,김치한,어패류,해조류,11,False,False,False,,,김치한,완1,,"★초특가★ 다모아 고춧가루 1Kg (김치용,거침,굵은굵기) The선별한 고추가루 중국산",6615,1Kg,1.0,Kg,0.1,https://www.foodspring.co.kr/goods/detail/734340
M03514,시나몬가루,곡류·면,밀가루·전분,10,False,False,False,,,시나몬가루,완1,,(솔표) 계피가루 업소용 시나몬가루 200g,3696,200g,200.0,g,1.3,https://www.foodspring.co.kr/goods/detail/901790
M03692,푸주,기타,주류,10,False,False,False,,,푸주,완5,푸주,푸주 건두부면 163g,1912,163g,163.0,g,3.5,https://www.foodspring.co.kr/goods/detail/772827
M03794,다시다,양념·기름,액젓·국물조미료,9,False,False,False,,,다시다,완1,,"다시다조개,300g/PK,CJ제일제당,실온",5280,300g,300.0,g,3.35,https://www.foodspring.co.kr/goods/detail/694153
M03821,과일주스,기타,주류,9,False,False,False,,,과일주스,완4,,과일촌 아침에사과주스 1.5L,1920,1.5L,1.5,L,1.5,https://www.foodspring.co.kr/goods/detail/765928
M03944,미림,양념·기름,식초·발효,9,False,False,False,,,미림,완1,,미림 500ml,1880,500ml,500.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/950847
M04150,초코시리얼,기타,기타,8,False,False,False,,,초코시리얼,완10,,"오곡초코로핀시리얼(씨알,실온)",9984,1.2Kg,1.2,Kg,1.5,https://www.foodspring.co.kr/goods/detail/695002
M04334,진간장,,,8,False,False,False,,,진간장,완1,,진간장(몽고/부천),18560,13L,13.0,L,3.5,https://www.foodspring.co.kr/goods/detail/518153
M04346,미니피망,기타,기타,8,False,True,True,채소류,,미니피망,완2,,리스토리스 스윗앤사워 레드 페퍼드롭 793g 미니 물방울 피망,23600,793g,793.0,g,0.8,https://www.foodspring.co.kr/goods/detail/793761
M04349,탄산음료,기타,기타,8,False,False,False,,,탄산음료,완9,,★탄산초특가★칠성 사이다(355ml_제로슈거 업소용 355g/EA) 탄산 음료 제로콜라 콜라,12075,355ml,355.0,ml,-0.05,https://www.foodspring.co.kr/goods/detail/690456
M04393,미트토마토소스,채소류,열매채소,8,False,True,True,채소류,,미트토마토소스,완6,,면사랑 미트볼로냐소스2kg / 파스타 스파게티소스 토마토소스,10400,2kg,2.0,kg,0.85,https://www.foodspring.co.kr/goods/detail/434121
M04464,케찹,,,8,False,False,False,,,케첩,완1,,케찹병(보성 대 550ml),1296,550ml,550.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/506265
M04569,기름튀김용,양념·기름,기름,7,False,False,False,,,기름튀김용,완9,,카놀라유 라이트(백설 0.9L)X12 식용유 카놀라 요리용기름 튀김용기름 가정용 업소용 식자재,105152,0.9L,0.9,L,3.9,https://www.foodspring.co.kr/goods/detail/17707
M04798,콜리플라워라이스,기타,기타,7,False,False,False,,,콜리플라워라이스,완8,,냉동 콜리플라워 라이스 500g 컬리플라워 스페인,3120,500g,500.0,g,1.15,https://www.foodspring.co.kr/goods/detail/463087
M04824,꽈리고추,채소류,열매채소,7,False,False,False,채소류,,꽈리고추,완1,,꽈리고추(국내산) 200g,1144,200g,200.0,g,3.5,https://www.foodspring.co.kr/goods/detail/760787
M04903,히비스커스티백,기타,기타,7,False,False,False,,,히비스커스티백,완6,,티코리아_아크바 히비스커스 20티백,4720,1.5g,1.5,g,1.5,https://www.foodspring.co.kr/goods/detail/927188
M04994,후추,,,6,False,False,False,,,후추,완1,,오케이 백후추알 50g,1920,50g,50.0,g,2.5,https://www.foodspring.co.kr/goods/detail/830135
M05165,누텔라초코잼,기타,기타,6,False,False,False,,,누텔라초코잼,완7,누텔라초코잼,누텔라 초코잼 1kg (상온),15880,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/676900
