ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00426,꽁치통조림,기타,기타,276,False,True,True,수산물,,꽁치통조림,완2,,펭귄 꽁치 400g 통조림 캔,2996,400g,400.0,g,1.5,https://www.foodspring.co.kr/goods/detail/391973
M01022,밤호박,채소류,열매채소,64,False,True,True,채소류,,밤호박,완5,밤호박,냉동찐바밤단호박(250g/EA),3900,250g,250.0,g,1.5,https://www.foodspring.co.kr/goods/detail/869901
M01085,무가당코코아파우더,채소류,양념채소,58,False,False,False,,,무가당코코아파우더,완7,무가당코코아파우더,꼬미다 무가당 코코아파우더 350g (상온),7200,350g,350.0,g,1.3,https://www.foodspring.co.kr/goods/detail/677458
M01391,자반김,어패류,해조류,38,False,False,False,,,자반김,완4,,핑크퐁 키드 김자반 40G 광천김,3224,40G,40.0,G,1.5,https://www.foodspring.co.kr/goods/detail/532136
M01788,백숙용닭,육류·계란,닭고기,27,False,False,False,,,백숙용닭,완8,,(냉동) 약간 하자 있는 국내산 생닭 1kg 백숙용 육계 통닭,4000,1kg,1.0,kg,2.8,https://www.foodspring.co.kr/goods/detail/832606
M01926,굵은소금천일염,,,24,False,True,True,,,굵은소금천일염,완2,,소금 (굵은소금/천일염-3kg-소),5520,3kg,3.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/827679
M02214,마늘,,,20,False,False,False,,,마늘,완1,,마늘 1kg(사이즈-대),8800,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/756073
M02447,삼각김밥김,어패류,해조류,17,False,False,False,,,삼각김밥김,완3,삼각김밥김,삼각김밥용김(광천김/50매*1.2g)pak,6896,50매,50.0,매,0.35,https://www.foodspring.co.kr/goods/detail/965469
M02484,메밀소바장국,기타,기타,17,False,True,True,식량작물,,메밀소바장국,완1,,오뚜기 메밀소바장국 360ml,1920,360ml,360.0,ml,1.5,https://www.foodspring.co.kr/goods/detail/976904
M02571,la갈비,기타,기타,16,False,False,False,축산물,,la갈비,완4,,호주청정우 la찜갈비 1kg(찜용),19920,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/433967
M02703,모듬견과류,기타,기타,15,False,False,False,,,모듬견과류,완6,,한울타리 너트믹스(모듬/봉지/견과류/안주) 1kg,5520,1kg,1.0,kg,1.15,https://www.foodspring.co.kr/goods/detail/657712
M02852,맛된,,,14,False,False,False,,,맛된,완5,맛된,별미 조선맛된장 14kg,31664,14kg,14.0,kg,2.5,https://www.foodspring.co.kr/goods/detail/565251
M03008,오색떡국떡,곡류·면,떡,13,False,False,False,,,오색떡국떡,완8,,오색 모양 떡국떡 1kg 별모양 하트모양,4160,1kg,1.0,kg,1.4,https://www.foodspring.co.kr/goods/detail/725137
M03019,사천고추,채소류,열매채소,13,False,False,False,,,사천고추,완9,,"사천건고추(베트남산), 1Kg, 수입",13680,1Kg,1.0,Kg,1.5,https://www.foodspring.co.kr/goods/detail/941219
M03142,현미국수,곡류·면,면류,12,False,False,False,식량작물,,현미국수,완5,현미국수,삼삼한 현미촌 현미쌀국수500g+현미짜장면500g,12720,500g,500.0,g,3.15,https://www.foodspring.co.kr/goods/detail/653163
M03634,딸기크런치,기타,기타,10,False,True,True,채소류,,딸기크런치,완1,,볼제너뮬러 초코 딸기 블랙커런트 크런치 400g,12096,400g,400.0,g,1.2,https://www.foodspring.co.kr/goods/detail/541715
M03874,사골육수,양념·기름,액젓·국물조미료,9,False,False,False,,,사골육수,완1,,사골육수(초정) 350g,496,350g,350.0,g,3.5,https://www.foodspring.co.kr/goods/detail/564061
M03961,복숭아통조림,기타,기타,9,False,True,True,과일류,,복숭아통조림,완4,,삼도 황도 슬라이스 3kg 복숭아 통조림,7536,3kg,3.0,kg,1.4,https://www.foodspring.co.kr/goods/detail/424350
M04003,떡볶이떡쌀떡,곡류·면,떡,9,False,False,False,,,떡볶이떡쌀떡,완6,,칠갑농산 쌀떡볶이떡(1Kg/EA)_수입 쌀떡,1778,1Kg,1.0,Kg,1.3,https://www.foodspring.co.kr/goods/detail/401583
M04244,매실액기스,기타,기타,8,False,False,False,,,매실액기스,완1,,매실액기스(청솔/1.5L)ea,7304,1.5L,1.5,L,3.5,https://www.foodspring.co.kr/goods/detail/966576
M04307,다진배,과일·견과,과일,8,False,False,False,,,다진배,완3,다진배,농우 냉동다진마늘 1kg 10개 무료배송,19200,1kg,1.0,kg,1.4,https://www.foodspring.co.kr/goods/detail/959220
M04669,떡볶이떡밀떡,곡류·면,떡,7,False,False,False,,,떡볶이떡밀떡,완9,,떡안애 말랑말랑 떡볶이떡 1kg 밀떡,2104,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/829226
M04711,마라시노체리,기타,기타,7,False,True,True,과일류,,마라시노체리,완4,,"마라시노레드체리(화풍,실온)",3848,375g,375.0,g,1.5,https://www.foodspring.co.kr/goods/detail/694444
M04904,물엿,양념·기름,당류,7,False,False,False,,,물엿,완1,,화미 고백당물엿 이온물엿 8kg,7240,8kg,8.0,kg,4.5,https://www.foodspring.co.kr/goods/detail/589334
M04926,복분자,기타,기타,7,False,False,False,수산물,,복분자,완2,,복분자오디생즙 110ml x 10,9168,110ml,110.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/899859
M04940,다용도무침,,,6,False,False,False,,,다용도무침,완10,,면사랑 다용도 비빔장 2kg 쫄면 비빔국수 무침요리용,9200,2kg,2.0,kg,1.05,https://www.foodspring.co.kr/goods/detail/587630
M04975,소고기불고기,,,6,False,False,False,,,소고기불고기,완7,소고기불고기,수라간너비아니(사조오양 냉동 800g) 너비아니 냉동너비아니 소고기너비아니 업소용너비아니 간편식너비아니 냉동식품 한식당재료 급식재료 불고기,11336,800g,800.0,g,-1.35,https://www.foodspring.co.kr/goods/detail/727610
M04979,서리태검은콩,기타,기타,6,False,False,False,,,서리태검은콩,완9,,국내산 서리태 검은콩국 430g,2080,430g,430.0,g,1.5,https://www.foodspring.co.kr/goods/detail/817420
M05032,파인애플샐러드소스,채소류,양념채소,6,False,True,True,,,파인애플샐러드소스,완5,파인애플샐러드소스,파인애플샐러드(캐드FS 냉장 2kg) 업소용 스파우트팩 소스,14888,2kg,2.0,kg,0.85,https://www.foodspring.co.kr/goods/detail/688065
M05194,목우촌뚝심,기타,기타,6,False,False,False,,,목우촌뚝심,완1,,목우촌 뚝심300g 1개,2256,300g,300.0,g,1.5,https://www.foodspring.co.kr/goods/detail/870271
M05236,샐러드소스,,,6,False,False,False,,,샐러드소스,완2,,샐러드소스(제주한라봉/대상)2kg,10512,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/846276
M05314,오리,기타,기타,6,False,False,False,,,오리,완1,,명일품 훈제오리 슬라이스 800g,6200,800g,800.0,g,2.5,https://www.foodspring.co.kr/goods/detail/565575
M05341,망고아이스크림,유제품,우유·크림,6,False,True,True,,,망고아이스크림,완4,,애플망고 샤베트 240ml 샤벳 아이스크림,2640,240ml,240.0,ml,2.35,https://www.foodspring.co.kr/goods/detail/665173
M05345,버터식빵,유제품,버터,6,False,False,False,,,버터식빵,완7,버터식빵,마가린(식물성 오뚜기 200g) 식물성마가린 버터대용 베이킹재료 토스트 식자재 제빵 가정용 요리용,6472,200g,200.0,g,4.8,https://www.foodspring.co.kr/goods/detail/54757
