ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00134,김치국물,어패류,해조류,1796,False,False,False,,,김치국물,완1,,춘풍접객 김치 콩나물국 600g_집밥 한식 간편식 국물요리,3040,600g,600.0,g,0.9,https://www.foodspring.co.kr/goods/detail/886310
M00654,다시마물,,,138,False,False,False,,,다시마물,완1,,자두식품 완도 자른 다시마 20g 10개 국물 육수용 건다시마 업소용,10904,20g,20.0,g,0.6,https://www.foodspring.co.kr/goods/detail/521032
M00982,한라,기타,기타,69,False,False,False,,,한라,완5,한라,한라 주부천하 참치액 900ml 1개,5520,900ml,900.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/6274
M01074,스테이크소스,,,59,False,False,False,,,스테이크소스,완1,,스테이크소스 415g/오뚜기,1760,415g,415.0,g,3.5,https://www.foodspring.co.kr/goods/detail/760593
M01600,둥지비빔냉면,곡류·면,면류,31,False,False,False,,,둥지비빔냉면,완10,,둥지 비빔 냉면 멀티 162G X 4개입 농심,9024,162G,162.0,G,3.25,https://www.foodspring.co.kr/goods/detail/543077
M01639,떡볶이용떡,곡류·면,떡,31,False,False,False,,,떡볶이용떡,완9,,밀볶이 2kg 떡볶이용 밀떡,3680,2kg,2.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/974439
M01976,샌드위치용식빵,곡류·면,빵·곡식가공,24,False,False,False,,,샌드위치용식빵,완2,,식빵 (토스트大/샌드위치용) 750g 샌드위치식빵 토스트식빵,2864,750g,750.0,g,0.85,https://www.foodspring.co.kr/goods/detail/563699
M02270,검은콩국물,기타,물·음료,19,False,False,False,,,검은콩국물,완10,,"검은콩국수가루[할매손,콩국물,콩맷돌]850g",6232,850g,850.0,g,1.3,https://www.foodspring.co.kr/goods/detail/384684
M02614,소고기육수,,,16,False,False,False,,,소고기육수,완1,,얼음골 소고기 냉면육수 5kg 쇠고기육수,3780,5kg,5.0,kg,1.4,https://www.foodspring.co.kr/goods/detail/953320
M02692,빙수용팥,기타,기타,15,False,False,False,,,빙수용팥,완5,빙수용팥,빙수용제리(스위트웰/팥모아)450g,2992,450g,450.0,g,1.5,https://www.foodspring.co.kr/goods/detail/618402
M02741,아삭고추,채소류,열매채소,14,False,False,False,,,아삭고추,완4,,아삭이고추 300g[팩],2048,300g,300.0,g,1.5,https://www.foodspring.co.kr/goods/detail/885731
M02884,오리고기훈제,,,14,False,False,False,,,오리고기훈제,완1,,사세 훈제 오리슬라이스 800g 냉동 오리고기 훈제고기,6720,800g,800.0,g,1.0,https://www.foodspring.co.kr/goods/detail/719851
M03012,유자잼,양념·기름,기름,13,False,False,False,,,유자잼,완5,유자잼,[오트리]유자청크잼(1kg),13200,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/873656
M03144,검은콩콩국물,기타,물·음료,12,False,False,False,,,검은콩콩국물,완1,,맷돌 검은콩 국물 450ml / 서리태 콩물 콩국수 콩국물 콩국 국산 왕태콩,2160,450ml,450.0,ml,0.4,https://www.foodspring.co.kr/goods/detail/793737
M03360,연시,기타,기타,11,False,False,False,,,연시,완10,,과일 포장 용기 연시5입 투명 350개,111600,350개,350.0,개,-0.55,https://www.foodspring.co.kr/goods/detail/721559
M03422,바게뜨빵,곡류·면,빵·곡식가공,11,False,False,False,,,바게뜨빵,완5,바게뜨빵,삼립 바게뜨롤 600g 냉동 빠네빵,3192,600g,600.0,g,1.5,https://www.foodspring.co.kr/goods/detail/936449
M03433,어린잎새싹채소,기타,기타,11,False,False,False,,,어린잎새싹채소,완6,,베이비채소(어린순) 50g 여린잎 어린순 새싹채소,760,50g,50.0,g,1.15,https://www.foodspring.co.kr/goods/detail/756095
M03526,천일염굵은소금,,,10,False,True,True,,,천일염굵은소금,완2,,신안하늘빛 천일염 (굵은소금) 3kg,7920,3kg,3.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/670949
M03529,명이나물장아찌,채소류,잎채소,10,False,False,False,,,명이나물장아찌,완9,,명이나물 10kg 업소용 산마늘 장아찌,40880,10kg,10.0,kg,1.45,https://www.foodspring.co.kr/goods/detail/899904
M03824,크러쉬드레드페퍼,기타,기타,9,False,False,False,,,크러쉬드레드페퍼,완1,,크러쉬드레드페퍼 340g/고메스파이스,10080,340g,340.0,g,3.5,https://www.foodspring.co.kr/goods/detail/757915
M03851,유산균음료,양념·기름,기름,9,False,False,False,,,유산균음료,완4,,유산균이 들어간 미숫가루 600g 유산균미숫가루 선식 건강음료 업소용 곡물가루 곡물음료 카페메뉴 다이어트식품 식사대용,22896,600g,600.0,g,-0.75,https://www.foodspring.co.kr/goods/detail/662435
M03889,자색무,기타,기타,9,False,False,False,,,자색무,완9,,후레쉬 자색 무피클 5kg 국내산무,15488,5kg,5.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/588619
M04338,콘통조림,기타,기타,8,False,False,False,,,콘통조림,완8,,명진 영콘 400g 미니 옥수수통조림,1520,400g,400.0,g,1.5,https://www.foodspring.co.kr/goods/detail/707379
M04374,마늘소금,,,8,False,False,False,,,마늘소금,완1,,의성 흑마늘 품은 구운소금 1kg,5600,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/945440
M04535,방울토마토마리네이드,채소류,열매채소,7,False,True,True,채소류,,방울토마토마리네이드,완7,방울토마토마리네이드,허니 방울토마토 마리네이드 1kg,14696,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/772813
M04833,병아리콩통조림,기타,기타,7,False,False,False,,,병아리콩통조림,완6,,칙피스 이집트콩(디벨라 400g) 업소용 병아리콩 통조림,2880,400g,400.0,g,0.95,https://www.foodspring.co.kr/goods/detail/457659
M05064,바닐라에센스,기타,기타,6,False,False,False,,,바닐라에센스,완1,,브레드가든 바닐라에센스 59ml,5360,59ml,59.0,ml,1.5,https://www.foodspring.co.kr/goods/detail/784288
M05067,카레고형,기타,기타,6,False,False,False,,,카레고형,완3,카레고형,하우스 고쿠마로카레 고형 1kg,9680,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/590231
M05291,동치미냉면육수,양념·기름,액젓·국물조미료,6,False,False,False,,,동치미냉면육수,완4,,동치미냉면육수(해인 310g)X10,5456,310g,310.0,g,3.5,https://www.foodspring.co.kr/goods/detail/519764
M05414,땡초고추,채소류,열매채소,6,False,False,False,,,땡초고추,완1,,하늘초(땡초)고추지 4kg/옛한옥하늘,11040,4kg,4.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/760112
M05636,스프,기타,기타,6,False,False,False,,,스프,완2,,스프라이트 사이다 355ml*24캔,11886,355ml,355.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/420313
M05715,대추씨,기타,기타,5,False,False,False,,,대추씨,완7,대추씨,"씨없는건대추(상품,냉장,씨제거,국산)",23224,1Kg,1.0,Kg,1.5,https://www.foodspring.co.kr/goods/detail/651965
M05764,어린잎채소,기타,기타,5,False,False,False,,,어린잎채소,완1,,어린잎채소 소/국내산 50g/팩,960,50g,50.0,g,3.5,https://www.foodspring.co.kr/goods/detail/589775
M05934,백련초,기타,기타,5,False,False,False,,,백련초,완1,,담양한과 찹쌀유과(개별포장_찹쌀+백련초+단호박_각10입 240g/EA),6765,240g,240.0,g,0.55,https://www.foodspring.co.kr/goods/detail/809921
M06006,비비고남도떡갈비,곡류·면,떡,5,False,False,False,축산물,,남도떡갈비,완2,,비비고 남도떡갈비 450g/CJ,9520,450g,450.0,g,1.5,https://www.foodspring.co.kr/goods/detail/957081
M06070,압착오트밀,기타,기타,5,False,False,False,,,압착오트밀,완10,,이든 압착 오트밀 500g (상온),3520,500g,500.0,g,1.5,https://www.foodspring.co.kr/goods/detail/677607
M06136,작은두부,가공식품,두부·묵,5,False,False,False,,,작은두부,완2,,포케 작은 연두부튀김 500g,4637,500g,500.0,g,4.5,https://www.foodspring.co.kr/goods/detail/894119
M06320,가시오가피나무,기타,기타,5,False,False,False,,,가시오가피나무,완10,,특A급 오가피 600g 국산 오가피효능 가시오가피 오가목 오갈피 나무 오가목 백숙 수육 삶는법,4392,600g,600.0,g,-0.1,https://www.foodspring.co.kr/goods/detail/669120
M06374,스파게티면,채소류,양념채소,5,False,False,False,,,스파게티면,완1,,스파게티면(곰표)500g,848,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/899327
M06433,캔맥주,기타,주류,5,False,False,False,,,캔맥주,완6,,(소량인쇄가능)맥주 칵테일 비어캔글라스 맥주잔 360ML,3280,360ML,360.0,ML,0.95,https://www.foodspring.co.kr/goods/detail/929543
M06514,새싹,기타,기타,5,False,False,False,,,새싹,완1,,새싹(소/외국산) 50g,720,50g,50.0,g,3.5,https://www.foodspring.co.kr/goods/detail/716315
M06577,우유실온,유제품,우유·크림,5,False,True,True,축산물,,우유실온,완3,우유실온,서울우유 멸균우유 1L 실온보관,1880,1L,1.0,L,2.5,https://www.foodspring.co.kr/goods/detail/58829
M06634,다진생강,기타,기타,4,False,True,True,,,다진생강,완1,,다진생강 간생강/국내산 100g,800,100g,100.0,g,3.5,https://www.foodspring.co.kr/goods/detail/589702
M06762,우렁이,기타,기타,4,False,False,False,,,우렁이,완5,우렁이,"우렁이살 (국내산,1kg)",8000,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/333042
M06804,딸기잼,,,4,False,True,True,,,딸기잼,완1,,딸기잼 370G 대상,5144,370G,370.0,G,3.5,https://www.foodspring.co.kr/goods/detail/527132
M06994,불고기,기타,기타,4,False,False,False,,,불고기,완1,,소불고기 구운주먹밥 100g,952,100g,100.0,g,2.5,https://www.foodspring.co.kr/goods/detail/848834
M07003,멸치다시다,,,4,False,False,False,,,멸치다시다,완6,,멸치다시다 골드(백설 100g),3208,100g,100.0,g,3.5,https://www.foodspring.co.kr/goods/detail/504439
M07384,굴소스,,,4,False,False,False,,,굴소스,완1,,굴소스(팬더/병),3360,510g,510.0,g,3.5,https://www.foodspring.co.kr/goods/detail/546111
M07727,국시장국,,,4,False,False,False,,,국수장국,완3,국수장국,가쓰오 국시장국(샘표 350ml),4744,350ml,350.0,ml,2.5,https://www.foodspring.co.kr/goods/detail/503082
M07824,곰탕국물,기타,물·음료,4,False,False,False,,,곰탕국물,완1,,오뚜기 사골곰탕 500g 옛날 곰탕 국물 엑기스,2128,500g,500.0,g,1.2,https://www.foodspring.co.kr/goods/detail/462316
